seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
1,8,laptop,2313,0.3091,0.7155,0.6567,0.8,0.7743,0.3958
1,8,restaurant,3602,0.3091,0.7091,0.6153,0.8345,0.6027,0.4086
1,9,val,122,0.1757,0.8361,0.4056,0.9167,0.3,0.0
1,9,in_domain,123,0.1757,0.8943,0.5936,0.9493,0.6316,0.2
1,9,laptop,2313,0.1757,0.7211,0.6632,0.8,0.7748,0.4149
1,9,restaurant,3602,0.1757,0.7132,0.6117,0.8386,0.5916,0.4048
1,10,val,122,0.198,0.8361,0.4056,0.9167,0.3,0.0
1,10,in_domain,123,0.198,0.8943,0.5936,0.9493,0.6316,0.2
1,10,laptop,2313,0.198,0.7229,0.6639,0.8023,0.7748,0.4145
1,10,restaurant,3602,0.198,0.7157,0.6116,0.8412,0.5903,0.4034
7,1,val,122,1.1226,0.877,0.3115,0.9345,0.0,0.0
7,1,in_domain,123,1.1226,0.878,0.3117,0.9351,0.0,0.0
7,1,laptop,2313,1.1226,0.4267,0.1994,0.5982,0.0,0.0
7,1,restaurant,3602,1.1226,0.6008,0.2502,0.7506,0.0,0.0
7,2,val,122,1.0758,0.8689,0.3099,0.9298,0.0,0.0
7,2,in_domain,123,1.0758,0.8699,0.3101,0.9304,0.0,0.0
7,2,laptop,2313,1.0758,0.4272,0.2004,0.5989,0.0023,0.0
7,2,restaurant,3602,1.0758,0.6008,0.2502,0.7506,0.0,0.0
7,3,val,122,0.9315,0.7951,0.4224,0.8922,0.375,0.0
7,3,in_domain,123,0.9315,0.8455,0.5739,0.9216,0.5143,0.2857
7,3,laptop,2313,0.9315,0.7294,0.6124,0.8113,0.7948,0.2312
7,3,restaurant,3602,0.9315,0.7399,0.5514,0.8516,0.6972,0.1053
7,4,val,122,0.6169,0.8279,0.4315,0.91,0.3846,0.0
7,4,in_domain,123,0.6169,0.9024,0.5209,0.9541,0.6087,0.0
7,4,laptop,2313,0.6169,0.7311,0.5904,0.8078,0.8011,0.1623
7,4,restaurant,3602,0.6169,0.7363,0.5319,0.8465,0.6873,0.0619
7,5,val,122,0.4601,0.8443,0.4183,0.9217,0.3333,0.0
7,5,in_domain,123,0.4601,0.9187,0.7071,0.9545,0.6667,0.5
7,5,laptop,2313,0.4601,0.7423,0.6929,0.8107,0.792,0.476
7,5,restaurant,3602,0.4601,0.7174,0.5824,0.8358,0.6055,0.3057
7,6,val,122,0.3298,0.8443,0.4125,0.9217,0.3158,0.0
7,6,in_domain,123,0.3298,0.9024,0.622,0.9493,0.6667,0.25
7,6,laptop,2313,0.3298,0.7484,0.6762,0.8183,0.7944,0.416
7,6,restaurant,3602,0.3298,0.731,0.5783,0.8428,0.6433,0.2488
7,7,val,122,0.2335,0.8443,0.434,0.9209,0.381,0.0
7,7,in_domain,123,0.2335,0.8943,0.6025,0.9488,0.6087,0.25
7,7,laptop,2313,0.2335,0.754,0.6851,0.8276,0.7989,0.4288
7,7,restaurant,3602,0.2335,0.7401,0.6014,0.8525,0.6709,0.281
7,8,val,122,0.1555,0.8525,0.4186,0.9224,0.3333,0.0
7,8,in_domain,123,0.1555,0.9024,0.6134,0.9537,0.6364,0.25
7,8,laptop,2313,0.1555,0.7536,0.6935,0.823,0.7979,0.4595
7,8,restaurant,3602,0.1555,0.7354,0.6039,0.8463,0.6464,0.3188
7,9,val,122,0.1943,0.8115,0.4057,0.9014,0.3158,0.0
7,9,in_domain,123,0.1943,0.9106,0.6796,0.9581,0.6364,0.4444
7,9,laptop,2313,0.1943,0.7406,0.6976,0.817,0.7919,0.4839
7,9,restaurant,3602,0.1943,0.7357,0.6347,0.8493,0.6481,0.4067
7,10,val,122,0.1264,0.8197,0.4074,0.9065,0.3158,0.0
7,10,in_domain,123,0.1264,0.9024,0.6134,0.9537,0.6364,0.25
7,10,laptop,2313,0.1264,0.7505,0.7025,0.8225,0.7981,0.4867
7,10,restaurant,3602,0.1264,0.7401,0.632,0.8518,0.6558,0.3885
2024,1,val,122,1.1916,0.0574,0.0362,0.0,0.0,0.1085
2024,1,in_domain,123,1.1916,0.0407,0.026,0.0,0.0,0.0781
2024,1,laptop,2313,1.1916,0.1993,0.1173,0.0,0.0247,0.3273
2024,1,restaurant,3602,1.1916,0.176,0.102,0.0,0.0074,0.2986
2024,2,val,122,1.1043,0.5738,0.2986,0.7293,0.1667,0.0
2024,2,in_domain,123,1.1043,0.6504,0.4108,0.7742,0.2917,0.1667
2024,2,laptop,2313,1.1043,0.4224,0.3814,0.4177,0.5174,0.2091
2024,2,restaurant,3602,1.1043,0.3237,0.3252,0.3132,0.3779,0.2843
