model,domain,status,n_examples,seed,accuracy,precision,recall,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,val,ok,122,555,0.8525,,,0.4265,0.9266,0.3529,0.0
Standard BERT ABSA,in_domain,ok,123,555,0.9106,,,0.6723,0.9502,0.6667,0.4
Standard BERT ABSA,laptop,ok,2313,555,0.6619,,,0.5017,0.7504,0.7131,0.0416
Standard BERT ABSA,restaurant,ok,3602,555,0.6877,,,0.4639,0.8139,0.5412,0.0366
Standard BERT ABSA,val,ok,122,777,0.8279,,,0.444,0.9108,0.4211,0.0
Standard BERT ABSA,in_domain,ok,123,777,0.8943,,,0.6568,0.9401,0.6667,0.3636
Standard BERT ABSA,laptop,ok,2313,777,0.6481,,,0.5389,0.7491,0.6873,0.1804
Standard BERT ABSA,restaurant,ok,3602,777,0.6491,,,0.4082,0.7826,0.3491,0.0929
Standard BERT ABSA,val,ok,122,999,0.8279,,,0.4164,0.9159,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,999,0.9024,,,0.6461,0.9498,0.625,0.3636
Standard BERT ABSA,laptop,ok,2313,999,0.6935,,,0.5288,0.798,0.7381,0.0503
Standard BERT ABSA,restaurant,ok,3602,999,0.6777,,,0.4838,0.8162,0.5752,0.06
Standard BERT ABSA,val,ok,122,1234,0.8279,,,0.4517,0.9108,0.4444,0.0
Standard BERT ABSA,in_domain,ok,123,1234,0.8943,,,0.6704,0.9444,0.6667,0.4
Standard BERT ABSA,laptop,ok,2313,1234,0.6316,,,0.4918,0.7177,0.6813,0.0765
Standard BERT ABSA,restaurant,ok,3602,1234,0.6718,,,0.4688,0.8039,0.4594,0.143
Standard BERT ABSA,val,ok,122,2023,0.8279,,,0.4161,0.9151,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,2023,0.8943,,,0.6074,0.9406,0.6316,0.25
Standard BERT ABSA,laptop,ok,2313,2023,0.5655,,,0.4122,0.6677,0.5647,0.0043
Standard BERT ABSA,restaurant,ok,3602,2023,0.6469,,,0.389,0.7851,0.3787,0.0031
Standard BERT ABSA,val,ok,122,4096,0.8525,,,0.4568,0.9259,0.4444,0.0
Standard BERT ABSA,in_domain,ok,123,4096,0.9024,,,0.552,0.9502,0.7059,0.0
Standard BERT ABSA,laptop,ok,2313,4096,0.6641,,,0.5054,0.7734,0.7057,0.0372
Standard BERT ABSA,restaurant,ok,3602,4096,0.6269,,,0.435,0.7797,0.5014,0.0237
Extended BERT ABSA,val,ok,122,42,0.8361,,,0.3891,0.9174,0.25,0.0
Extended BERT ABSA,in_domain,ok,123,42,0.8943,,,0.6167,0.9455,0.5714,0.3333
Extended BERT ABSA,laptop,ok,2313,42,0.6706,,,0.6019,0.7815,0.6849,0.3392
Extended BERT ABSA,restaurant,ok,3602,42,0.6802,,,0.5482,0.8262,0.4495,0.3687
RoBERTa ABSA,val,ok,122,42,0.8607,,,0.441,0.9231,0.4,0.0
RoBERTa ABSA,in_domain,ok,123,42,0.9106,,,0.6237,0.9545,0.6667,0.25
RoBERTa ABSA,laptop,ok,2313,42,0.7255,,,0.6771,0.8184,0.7438,0.469
RoBERTa ABSA,restaurant,ok,3602,42,0.7351,,,0.6066,0.8472,0.6265,0.3463
Extended BERT ABSA,val,ok,122,1,0.8197,,,0.3444,0.9083,0.125,0.0
Extended BERT ABSA,in_domain,ok,123,1,0.9106,,,0.5915,0.9554,0.5333,0.2857
Extended BERT ABSA,laptop,ok,2313,1,0.6835,,,0.5272,0.7737,0.7453,0.0625
Extended BERT ABSA,restaurant,ok,3602,1,0.6929,,,0.5153,0.8265,0.559,0.1604
RoBERTa ABSA,val,ok,122,1,0.8689,,,0.4076,0.9369,0.2857,0.0
RoBERTa ABSA,in_domain,ok,123,1,0.8537,,,0.4866,0.9309,0.375,0.1538
RoBERTa ABSA,laptop,ok,2313,1,0.7043,,,0.6487,0.799,0.7494,0.3977
RoBERTa ABSA,restaurant,ok,3602,1,0.688,,,0.5905,0.8186,0.5695,0.3836
Extended BERT ABSA,val,ok,122,7,0.8689,,,0.422,0.9327,0.3333,0.0
Extended BERT ABSA,in_domain,ok,123,7,0.9106,,,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,laptop,ok,2313,7,0.6978,,,0.6351,0.7912,0.7299,0.3841
Extended BERT ABSA,restaurant,ok,3602,7,0.6985,,,0.5467,0.822,0.5565,0.2617
RoBERTa ABSA,val,ok,122,7,0.8607,,,0.4438,0.9315,0.4,0.0
RoBERTa ABSA,in_domain,ok,123,7,0.8943,,,0.5286,0.9541,0.6316,0.0
RoBERTa ABSA,laptop,ok,2313,7,0.7406,,,0.693,0.8246,0.7619,0.4926
RoBERTa ABSA,restaurant,ok,3602,7,0.7429,,,0.6294,0.8545,0.6338,0.4
Extended BERT ABSA,val,ok,122,2024,0.8689,,,0.4076,0.9369,0.2857,0.0
Extended BERT ABSA,in_domain,ok,123,2024,0.9024,,,0.6391,0.9459,0.5714,0.4
Extended BERT ABSA,laptop,ok,2313,2024,0.6766,,,0.57,0.7842,0.7115,0.2143
Extended BERT ABSA,restaurant,ok,3602,2024,0.6777,,,0.5239,0.8218,0.5024,0.2475
RoBERTa ABSA,val,ok,122,2024,0.8443,,,0.4183,0.9217,0.3333,0.0
RoBERTa ABSA,in_domain,ok,123,2024,0.9024,,,0.6287,0.9493,0.7368,0.2
RoBERTa ABSA,laptop,ok,2313,2024,0.7203,,,0.6793,0.8174,0.7363,0.4841
RoBERTa ABSA,restaurant,ok,3602,2024,0.7307,,,0.6132,0.8496,0.5919,0.3983
Extended BERT ABSA,val,ok,122,123,0.8197,,,0.3914,0.9074,0.2667,0.0
Extended BERT ABSA,in_domain,ok,123,123,0.9106,,,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,laptop,ok,2313,123,0.6978,,,0.6499,0.7942,0.7267,0.4287
Extended BERT ABSA,restaurant,ok,3602,123,0.6938,,,0.5878,0.821,0.569,0.3734
RoBERTa ABSA,val,ok,122,123,0.8361,,,0.3933,0.9132,0.2667,0.0
RoBERTa ABSA,in_domain,ok,123,123,0.9024,,,0.6594,0.9455,0.5882,0.4444
RoBERTa ABSA,laptop,ok,2313,123,0.716,,,0.683,0.8054,0.7582,0.4854
RoBERTa ABSA,restaurant,ok,3602,123,0.7138,,,0.5951,0.8423,0.5607,0.3823
Extended BERT ABSA,val,ok,122,0,0.8607,,,0.3996,0.9321,0.2667,0.0
Extended BERT ABSA,in_domain,ok,123,0,0.8943,,,0.5513,0.9422,0.4615,0.25
Extended BERT ABSA,laptop,ok,2313,0,0.6788,,,0.5925,0.7796,0.7131,0.2849
Extended BERT ABSA,restaurant,ok,3602,0,0.6763,,,0.5273,0.8175,0.4771,0.2873
RoBERTa ABSA,val,ok,122,0,0.8361,,,0.3842,0.9174,0.2353,0.0
RoBERTa ABSA,in_domain,ok,123,0,0.9024,,,0.6186,0.9498,0.7059,0.2
RoBERTa ABSA,laptop,ok,2313,0,0.7298,,,0.6721,0.8158,0.7603,0.4401
RoBERTa ABSA,restaurant,ok,3602,0,0.7235,,,0.5768,0.838,0.6075,0.2851
Extended BERT ABSA,val,ok,122,2,0.877,,,0.4566,0.9412,0.4286,0.0
Extended BERT ABSA,in_domain,ok,123,2,0.9024,,,0.6568,0.9455,0.625,0.4
Extended BERT ABSA,laptop,ok,2313,2,0.6961,,,0.5928,0.7833,0.7427,0.2524
Extended BERT ABSA,restaurant,ok,3602,2,0.6988,,,0.5209,0.8253,0.5569,0.1805
RoBERTa ABSA,val,ok,122,2,0.8525,,,0.3966,0.9231,0.2667,0.0
RoBERTa ABSA,in_domain,ok,123,2,0.9106,,,0.6452,0.9498,0.7,0.2857
RoBERTa ABSA,laptop,ok,2313,2,0.741,,,0.6893,0.8233,0.7689,0.4757
RoBERTa ABSA,restaurant,ok,3602,2,0.7354,,,0.6351,0.8453,0.6187,0.4414
Extended BERT ABSA,val,ok,122,3,0.8443,,,0.3604,0.9273,0.1538,0.0
Extended BERT ABSA,in_domain,ok,123,3,0.8943,,,0.6011,0.9417,0.4615,0.4
Extended BERT ABSA,laptop,ok,2313,3,0.6723,,,0.6105,0.7771,0.6993,0.3551
Extended BERT ABSA,restaurant,ok,3602,3,0.6821,,,0.525,0.8128,0.4745,0.2877
RoBERTa ABSA,val,ok,122,3,0.8279,,,0.3557,0.9132,0.1538,0.0
RoBERTa ABSA,in_domain,ok,123,3,0.8699,,,0.5258,0.9401,0.4706,0.1667
RoBERTa ABSA,laptop,ok,2313,3,0.7259,,,0.6782,0.8162,0.7572,0.461
RoBERTa ABSA,restaurant,ok,3602,3,0.741,,,0.6315,0.8566,0.6205,0.4174
Extended BERT ABSA,val,ok,122,5,0.8279,,,0.3994,0.9124,0.2857,0.0
Extended BERT ABSA,in_domain,ok,123,5,0.9024,,,0.6079,0.9507,0.4286,0.4444
Extended BERT ABSA,laptop,ok,2313,5,0.6853,,,0.6182,0.7943,0.7191,0.3412
Extended BERT ABSA,restaurant,ok,3602,5,0.681,,,0.5503,0.8197,0.5146,0.3166
RoBERTa ABSA,val,ok,122,5,0.8443,,,0.5007,0.9202,0.4,0.1818
RoBERTa ABSA,in_domain,ok,123,5,0.9024,,,0.6375,0.9541,0.625,0.3333
RoBERTa ABSA,laptop,ok,2313,5,0.7173,,,0.6555,0.8193,0.742,0.4052
RoBERTa ABSA,restaurant,ok,3602,5,0.7335,,,0.614,0.8544,0.5798,0.4078
Extended BERT ABSA,val,ok,122,10,0.8525,,,0.398,0.9273,0.2667,0.0
Extended BERT ABSA,in_domain,ok,123,10,0.8943,,,0.6011,0.9417,0.4615,0.4
Extended BERT ABSA,laptop,ok,2313,10,0.6684,,,0.613,0.7865,0.6697,0.3827
Extended BERT ABSA,restaurant,ok,3602,10,0.6952,,,0.5584,0.832,0.5519,0.2912
RoBERTa ABSA,val,ok,122,10,0.8607,,,0.4216,0.9315,0.3333,0.0
RoBERTa ABSA,in_domain,ok,123,10,0.878,,,0.5111,0.945,0.5882,0.0
RoBERTa ABSA,laptop,ok,2313,10,0.7134,,,0.648,0.8129,0.7474,0.3838
RoBERTa ABSA,restaurant,ok,3602,10,0.7074,,,0.5826,0.8361,0.5495,0.3621
Extended BERT ABSA,val,ok,122,50,0.8443,,,0.3963,0.9224,0.2667,0.0
Extended BERT ABSA,in_domain,ok,123,50,0.8862,,,0.5787,0.9412,0.4615,0.3333
Extended BERT ABSA,laptop,ok,2313,50,0.6887,,,0.6073,0.801,0.7112,0.3098
Extended BERT ABSA,restaurant,ok,3602,50,0.6871,,,0.5552,0.8208,0.5097,0.3351
RoBERTa ABSA,val,ok,122,50,0.8689,,,0.4455,0.9364,0.4,0.0
RoBERTa ABSA,in_domain,ok,123,50,0.878,,,0.573,0.9401,0.625,0.1538
RoBERTa ABSA,laptop,ok,2313,50,0.7211,,,0.6734,0.8222,0.7469,0.4511
RoBERTa ABSA,restaurant,ok,3602,50,0.7165,,,0.5916,0.849,0.5086,0.4174
Extended BERT ABSA,val,ok,122,99,0.8361,,,0.3906,0.9217,0.25,0.0
Extended BERT ABSA,in_domain,ok,123,99,0.9024,,,0.6175,0.9464,0.4615,0.4444
Extended BERT ABSA,laptop,ok,2313,99,0.6775,,,0.589,0.7845,0.7105,0.2721
Extended BERT ABSA,restaurant,ok,3602,99,0.6949,,,0.5429,0.8266,0.5502,0.2518
RoBERTa ABSA,val,ok,122,99,0.8852,,,0.4486,0.9459,0.4,0.0
RoBERTa ABSA,in_domain,ok,123,99,0.8943,,,0.5143,0.9545,0.5882,0.0
RoBERTa ABSA,laptop,ok,2313,99,0.7272,,,0.6794,0.8108,0.7735,0.4539
RoBERTa ABSA,restaurant,ok,3602,99,0.7321,,,0.6129,0.8482,0.6186,0.3721
Extended BERT ABSA,val,ok,122,100,0.8443,,,0.3963,0.9224,0.2667,0.0
Extended BERT ABSA,in_domain,ok,123,100,0.9024,,,0.6568,0.9455,0.625,0.4
Extended BERT ABSA,laptop,ok,2313,100,0.6961,,,0.6093,0.7884,0.7312,0.3081
Extended BERT ABSA,restaurant,ok,3602,100,0.7016,,,0.5539,0.8314,0.5442,0.286
RoBERTa ABSA,val,ok,122,100,0.8279,,,0.393,0.9124,0.2667,0.0
RoBERTa ABSA,in_domain,ok,123,100,0.9024,,,0.6317,0.945,0.7,0.25
RoBERTa ABSA,laptop,ok,2313,100,0.7324,,,0.6851,0.8202,0.7617,0.4733
RoBERTa ABSA,restaurant,ok,3602,100,0.7371,,,0.6207,0.8495,0.6436,0.3688
Extended BERT ABSA,val,ok,122,314,0.8525,,,0.4265,0.9266,0.3529,0.0
Extended BERT ABSA,in_domain,ok,123,314,0.9268,,,0.701,0.96,0.5714,0.5714
Extended BERT ABSA,laptop,ok,2313,314,0.6853,,,0.544,0.7886,0.7211,0.1224
Extended BERT ABSA,restaurant,ok,3602,314,0.6816,,,0.4833,0.8136,0.483,0.1535
RoBERTa ABSA,val,ok,122,314,0.8361,,,0.4181,0.9209,0.3333,0.0
RoBERTa ABSA,in_domain,ok,123,314,0.8943,,,0.5388,0.9498,0.6667,0.0
RoBERTa ABSA,laptop,ok,2313,314,0.7341,,,0.6881,0.8177,0.7683,0.4781
RoBERTa ABSA,restaurant,ok,3602,314,0.7318,,,0.6382,0.847,0.6579,0.4097
Extended BERT ABSA,val,ok,122,555,0.8443,,,0.4086,0.9182,0.3077,0.0
Extended BERT ABSA,in_domain,ok,123,555,0.9106,,,0.628,0.9554,0.4286,0.5
Extended BERT ABSA,laptop,ok,2313,555,0.6744,,,0.5818,0.7647,0.7139,0.2669
Extended BERT ABSA,restaurant,ok,3602,555,0.6893,,,0.4954,0.8141,0.5311,0.1408
RoBERTa ABSA,val,ok,122,555,0.8689,,,0.4298,0.9364,0.3529,0.0
RoBERTa ABSA,in_domain,ok,123,555,0.8943,,,0.6109,0.945,0.7059,0.1818
RoBERTa ABSA,laptop,ok,2313,555,0.7259,,,0.6748,0.8252,0.7587,0.4405
RoBERTa ABSA,restaurant,ok,3602,555,0.7454,,,0.6293,0.8583,0.6461,0.3835
Extended BERT ABSA,val,ok,122,777,0.8689,,,0.4135,0.9327,0.3077,0.0
Extended BERT ABSA,in_domain,ok,123,777,0.8862,,,0.4569,0.9422,0.4286,0.0
Extended BERT ABSA,laptop,ok,2313,777,0.6805,,,0.5482,0.7826,0.7207,0.1413
Extended BERT ABSA,restaurant,ok,3602,777,0.688,,,0.5091,0.8268,0.5474,0.1531
RoBERTa ABSA,val,ok,122,777,0.8607,,,0.3651,0.9286,0.1667,0.0
RoBERTa ABSA,in_domain,ok,123,777,0.8862,,,0.5965,0.9358,0.6316,0.2222
RoBERTa ABSA,laptop,ok,2313,777,0.7514,,,0.7,0.821,0.7952,0.4837
RoBERTa ABSA,restaurant,ok,3602,777,0.744,,,0.6206,0.8546,0.6382,0.3689
Extended BERT ABSA,val,ok,122,999,0.8525,,,0.4408,0.9224,0.4,0.0
Extended BERT ABSA,in_domain,ok,123,999,0.878,,,0.4963,0.9333,0.3333,0.2222
Extended BERT ABSA,laptop,ok,2313,999,0.6481,,,0.5431,0.7633,0.6762,0.1899
Extended BERT ABSA,restaurant,ok,3602,999,0.6494,,,0.4384,0.7946,0.3649,0.1558
RoBERTa ABSA,val,ok,122,999,0.8689,,,0.5036,0.9358,0.3529,0.2222
RoBERTa ABSA,in_domain,ok,123,999,0.878,,,0.5793,0.9395,0.6316,0.1667
RoBERTa ABSA,laptop,ok,2313,999,0.706,,,0.6663,0.8308,0.7009,0.4672
RoBERTa ABSA,restaurant,ok,3602,999,0.7254,,,0.6144,0.8603,0.5458,0.4372
Extended BERT ABSA,val,ok,122,1234,0.8525,,,0.3606,0.9279,0.1538,0.0
Extended BERT ABSA,in_domain,ok,123,1234,0.9024,,,0.6391,0.9459,0.5714,0.4
Extended BERT ABSA,laptop,ok,2313,1234,0.6857,,,0.5754,0.7941,0.7137,0.2185
Extended BERT ABSA,restaurant,ok,3602,1234,0.676,,,0.4927,0.8136,0.4858,0.1786
RoBERTa ABSA,val,ok,122,1234,0.8279,,,0.4164,0.9159,0.3333,0.0
RoBERTa ABSA,in_domain,ok,123,1234,0.9024,,,0.622,0.9493,0.6667,0.25
RoBERTa ABSA,laptop,ok,2313,1234,0.7402,,,0.6902,0.8153,0.7761,0.479
RoBERTa ABSA,restaurant,ok,3602,1234,0.7279,,,0.6158,0.8447,0.6009,0.4017
Extended BERT ABSA,val,ok,122,2023,0.8361,,,0.4094,0.9124,0.3158,0.0
