model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Extended BERT ABSA,123,3,in_domain,123,0.5093,0.878,0.6507,0.9296,0.7368,0.2857
Extended BERT ABSA,123,3,laptop,2313,0.5093,0.6645,0.4957,0.7657,0.7128,0.0087
Extended BERT ABSA,123,3,restaurant,3602,0.5093,0.6838,0.4718,0.8201,0.5922,0.0031
Extended BERT ABSA,123,4,val,122,0.3436,0.8443,0.434,0.9209,0.381,0.0
Extended BERT ABSA,123,4,in_domain,123,0.3436,0.9268,0.6519,0.964,0.7059,0.2857
Extended BERT ABSA,123,4,laptop,2313,0.3436,0.6887,0.5119,0.7844,0.7428,0.0086
Extended BERT ABSA,123,4,restaurant,3602,0.3436,0.6982,0.4744,0.8242,0.596,0.0031
Extended BERT ABSA,123,5,val,122,0.2816,0.8361,0.4323,0.9159,0.381,0.0
Extended BERT ABSA,123,5,in_domain,123,0.2816,0.9268,0.7179,0.9593,0.75,0.4444
Extended BERT ABSA,123,5,laptop,2313,0.2816,0.6879,0.5153,0.7867,0.7377,0.0215
Extended BERT ABSA,123,5,restaurant,3602,0.2816,0.7021,0.4832,0.8287,0.6116,0.0094
RoBERTa ABSA,123,1,val,122,1.1186,0.623,0.3452,0.7598,0.2759,0.0
RoBERTa ABSA,123,1,in_domain,123,1.1186,0.7317,0.4037,0.8438,0.3673,0.0
RoBERTa ABSA,123,1,laptop,2313,1.1186,0.5063,0.3588,0.4677,0.6088,0.0
RoBERTa ABSA,123,1,restaurant,3602,1.1186,0.5844,0.4152,0.7188,0.5267,0.0
RoBERTa ABSA,123,2,val,122,0.9121,0.8689,0.4298,0.9364,0.3529,0.0
RoBERTa ABSA,123,2,in_domain,123,0.9121,0.9268,0.7325,0.9593,0.6667,0.5714
RoBERTa ABSA,123,2,laptop,2313,0.9121,0.6978,0.6556,0.7938,0.7201,0.4529
RoBERTa ABSA,123,2,restaurant,3602,0.9121,0.6749,0.4652,0.8144,0.4295,0.1517
RoBERTa ABSA,123,3,val,122,0.618,0.8361,0.5175,0.9108,0.375,0.2667
RoBERTa ABSA,123,3,in_domain,123,0.618,0.9024,0.7037,0.9444,0.6667,0.5
RoBERTa ABSA,123,3,laptop,2313,0.618,0.6502,0.6443,0.7186,0.7298,0.4846
RoBERTa ABSA,123,3,restaurant,3602,0.618,0.6921,0.5976,0.8271,0.5585,0.4071
RoBERTa ABSA,123,4,val,122,0.46,0.8279,0.4195,0.9108,0.3478,0.0
RoBERTa ABSA,123,4,in_domain,123,0.46,0.9106,0.6335,0.9585,0.6087,0.3333
RoBERTa ABSA,123,4,laptop,2313,0.46,0.7307,0.6795,0.8045,0.789,0.445
RoBERTa ABSA,123,4,restaurant,3602,0.46,0.7393,0.5977,0.8516,0.6745,0.2671
RoBERTa ABSA,123,5,val,122,0.3239,0.8607,0.4355,0.9315,0.375,0.0
RoBERTa ABSA,123,5,in_domain,123,0.3239,0.8943,0.5996,0.945,0.6316,0.2222
RoBERTa ABSA,123,5,laptop,2313,0.3239,0.7073,0.6791,0.7883,0.7587,0.4904
RoBERTa ABSA,123,5,restaurant,3602,0.3239,0.7196,0.5999,0.8401,0.6,0.3596
Standard BERT ABSA,0,1,val,122,1.1204,0.3115,0.2283,0.4317,0.1867,0.0667
Standard BERT ABSA,0,1,in_domain,123,1.1204,0.4472,0.3659,0.5563,0.3673,0.1739
Standard BERT ABSA,0,1,laptop,2313,1.1204,0.3874,0.2468,0.0856,0.5447,0.1101
Standard BERT ABSA,0,1,restaurant,3602,1.1204,0.2726,0.2618,0.1928,0.3663,0.2264
Standard BERT ABSA,0,2,val,122,0.8789,0.8033,0.4403,0.8966,0.4242,0.0
Standard BERT ABSA,0,2,in_domain,123,0.8789,0.9024,0.5574,0.945,0.7273,0.0
Standard BERT ABSA,0,2,laptop,2313,0.8789,0.5556,0.4072,0.6457,0.5758,0.0
Standard BERT ABSA,0,2,restaurant,3602,0.8789,0.6319,0.3821,0.7691,0.3619,0.0154
Standard BERT ABSA,0,3,val,122,0.616,0.8197,0.4819,0.9073,0.5385,0.0
Standard BERT ABSA,0,3,in_domain,123,0.616,0.8455,0.6564,0.9073,0.7619,0.3
Standard BERT ABSA,0,3,laptop,2313,0.616,0.6304,0.5235,0.7383,0.6609,0.1714
Standard BERT ABSA,0,3,restaurant,3602,0.616,0.6377,0.4826,0.7974,0.4096,0.2408
Standard BERT ABSA,0,4,val,122,0.3975,0.8525,0.4696,0.9289,0.48,0.0
Standard BERT ABSA,0,4,in_domain,123,0.3975,0.8943,0.5688,0.9444,0.7619,0.0
Standard BERT ABSA,0,4,laptop,2313,0.3975,0.6688,0.5263,0.7661,0.7132,0.0994
Standard BERT ABSA,0,4,restaurant,3602,0.3975,0.6752,0.4941,0.8166,0.4916,0.174
Standard BERT ABSA,0,5,val,122,0.3078,0.8607,0.463,0.9346,0.4545,0.0
Standard BERT ABSA,0,5,in_domain,123,0.3078,0.9187,0.579,0.9593,0.7778,0.0
Standard BERT ABSA,0,5,laptop,2313,0.3078,0.6706,0.5275,0.7668,0.7174,0.0983
Standard BERT ABSA,0,5,restaurant,3602,0.3078,0.6713,0.4819,0.8141,0.457,0.1747
Extended BERT ABSA,0,1,val,122,1.1067,0.7213,0.353,0.8485,0.2105,0.0
Extended BERT ABSA,0,1,in_domain,123,1.1067,0.8537,0.4781,0.9159,0.5185,0.0
Extended BERT ABSA,0,1,laptop,2313,1.1067,0.5076,0.3686,0.606,0.4997,0.0
Extended BERT ABSA,0,1,restaurant,3602,1.1067,0.6097,0.3884,0.7543,0.4047,0.0063
Extended BERT ABSA,0,2,val,122,0.9134,0.6557,0.3525,0.7935,0.2642,0.0
Extended BERT ABSA,0,2,in_domain,123,0.9134,0.8049,0.4363,0.8846,0.4242,0.0
Extended BERT ABSA,0,2,laptop,2313,0.9134,0.5357,0.396,0.589,0.5992,0.0
Extended BERT ABSA,0,2,restaurant,3602,0.9134,0.5825,0.3945,0.7317,0.4517,0.0
Extended BERT ABSA,0,3,val,122,0.6488,0.8607,0.3111,0.9333,0.0,0.0
Extended BERT ABSA,0,3,in_domain,123,0.6488,0.8943,0.5206,0.9427,0.3333,0.2857
Extended BERT ABSA,0,3,laptop,2313,0.6488,0.5556,0.4338,0.6814,0.4702,0.1497
Extended BERT ABSA,0,3,restaurant,3602,0.6488,0.626,0.355,0.7684,0.1686,0.1279
Extended BERT ABSA,0,4,val,122,0.4066,0.8115,0.4465,0.902,0.4375,0.0
Extended BERT ABSA,0,4,in_domain,123,0.4066,0.8943,0.6338,0.9395,0.7619,0.2
Extended BERT ABSA,0,4,laptop,2313,0.4066,0.639,0.5233,0.7431,0.6754,0.1514
Extended BERT ABSA,0,4,restaurant,3602,0.4066,0.666,0.5092,0.8071,0.503,0.2175
Extended BERT ABSA,0,5,val,122,0.2778,0.8689,0.4719,0.9395,0.4762,0.0
Extended BERT ABSA,0,5,in_domain,123,0.2778,0.9187,0.6728,0.9541,0.8421,0.2222
Extended BERT ABSA,0,5,laptop,2313,0.2778,0.6528,0.5316,0.7586,0.6863,0.1498
Extended BERT ABSA,0,5,restaurant,3602,0.2778,0.6671,0.4862,0.8053,0.4489,0.2045
RoBERTa ABSA,0,1,val,122,1.1048,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,0,1,in_domain,123,1.1048,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,0,1,laptop,2313,1.1048,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,0,1,restaurant,3602,1.1048,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,0,2,val,122,1.0109,0.6721,0.3702,0.8087,0.3019,0.0
RoBERTa ABSA,0,2,in_domain,123,1.0109,0.7154,0.4048,0.8298,0.3846,0.0
RoBERTa ABSA,0,2,laptop,2313,1.0109,0.6654,0.5105,0.7593,0.7181,0.0539
RoBERTa ABSA,0,2,restaurant,3602,1.0109,0.7199,0.5104,0.8357,0.6453,0.0503
RoBERTa ABSA,0,3,val,122,0.5997,0.877,0.3129,0.9386,0.0,0.0
RoBERTa ABSA,0,3,in_domain,123,0.5997,0.9024,0.4837,0.9511,0.5,0.0
RoBERTa ABSA,0,3,laptop,2313,0.5997,0.6278,0.4595,0.7151,0.6635,0.0
RoBERTa ABSA,0,3,restaurant,3602,0.5997,0.6235,0.317,0.7656,0.1853,0.0
RoBERTa ABSA,0,4,val,122,0.6858,0.8607,0.3585,0.9327,0.1429,0.0
RoBERTa ABSA,0,4,in_domain,123,0.6858,0.8943,0.4723,0.9464,0.4706,0.0
RoBERTa ABSA,0,4,laptop,2313,0.6858,0.6883,0.5476,0.7694,0.7481,0.1252
RoBERTa ABSA,0,4,restaurant,3602,0.6858,0.6716,0.4335,0.7974,0.4333,0.0699
RoBERTa ABSA,0,5,val,122,0.7033,0.8443,0.4072,0.9217,0.3,0.0
RoBERTa ABSA,0,5,in_domain,123,0.7033,0.9024,0.5015,0.9589,0.5455,0.0
RoBERTa ABSA,0,5,laptop,2313,0.7033,0.7185,0.5516,0.8073,0.7822,0.0654
RoBERTa ABSA,0,5,restaurant,3602,0.7033,0.7082,0.4885,0.8233,0.6032,0.0389
Standard BERT ABSA,2,1,val,122,1.0745,0.7787,0.2946,0.8837,0.0,0.0
Standard BERT ABSA,2,1,in_domain,123,1.0745,0.7967,0.489,0.8815,0.375,0.2105
Standard BERT ABSA,2,1,laptop,2313,1.0745,0.4578,0.2621,0.6118,0.1746,0.0
Standard BERT ABSA,2,1,restaurant,3602,1.0745,0.5974,0.2616,0.7472,0.0375,0.0
Standard BERT ABSA,2,2,val,122,0.9212,0.8279,0.4147,0.9108,0.3333,0.0
Standard BERT ABSA,2,2,in_domain,123,0.9212,0.8943,0.5137,0.9412,0.6,0.0
Standard BERT ABSA,2,2,laptop,2313,0.9212,0.6001,0.4452,0.6957,0.6399,0.0
Standard BERT ABSA,2,2,restaurant,3602,0.9212,0.5855,0.3642,0.7383,0.3542,0.0
Standard BERT ABSA,2,3,val,122,0.6957,0.8443,0.4795,0.9223,0.5161,0.0
Standard BERT ABSA,2,3,in_domain,123,0.6957,0.9024,0.5563,0.9488,0.72,0.0
Standard BERT ABSA,2,3,laptop,2313,0.6957,0.6035,0.4489,0.69,0.6567,0.0
Standard BERT ABSA,2,3,restaurant,3602,0.6957,0.6238,0.4186,0.7704,0.4855,0.0
Standard BERT ABSA,2,4,val,122,0.4687,0.8443,0.4488,0.9252,0.4211,0.0
Standard BERT ABSA,2,4,in_domain,123,0.4687,0.9024,0.5622,0.9498,0.7368,0.0
Standard BERT ABSA,2,4,laptop,2313,0.4687,0.6623,0.5026,0.7688,0.7006,0.0384
Standard BERT ABSA,2,4,restaurant,3602,0.4687,0.6519,0.4225,0.79,0.4711,0.0062
Standard BERT ABSA,2,5,val,122,0.354,0.8361,0.4181,0.9209,0.3333,0.0
Standard BERT ABSA,2,5,in_domain,123,0.354,0.8862,0.5358,0.9406,0.6667,0.0
Standard BERT ABSA,2,5,laptop,2313,0.354,0.6645,0.5026,0.7731,0.7007,0.0341
Standard BERT ABSA,2,5,restaurant,3602,0.354,0.6519,0.4189,0.7896,0.4579,0.0093
Extended BERT ABSA,2,1,val,122,1.0824,0.1639,0.1152,0.2,0.1455,0.0
Extended BERT ABSA,2,1,in_domain,123,1.0824,0.3008,0.1987,0.3942,0.202,0.0
Extended BERT ABSA,2,1,laptop,2313,1.0824,0.3796,0.1914,0.0279,0.5463,0.0
Extended BERT ABSA,2,1,restaurant,3602,1.0824,0.2277,0.1308,0.0182,0.3648,0.0094
Extended BERT ABSA,2,2,val,122,0.9436,0.6148,0.3383,0.7556,0.2593,0.0
Extended BERT ABSA,2,2,in_domain,123,0.9436,0.813,0.5346,0.8878,0.5161,0.2
Extended BERT ABSA,2,2,laptop,2313,0.9436,0.4773,0.3354,0.4142,0.5833,0.0086
Extended BERT ABSA,2,2,restaurant,3602,0.9436,0.55,0.3951,0.6899,0.4709,0.0246
Extended BERT ABSA,2,3,val,122,0.6683,0.8607,0.5041,0.9289,0.5833,0.0
Extended BERT ABSA,2,3,in_domain,123,0.6683,0.9024,0.6983,0.9434,0.8182,0.3333
Extended BERT ABSA,2,3,laptop,2313,0.6683,0.6498,0.484,0.7498,0.6937,0.0086
Extended BERT ABSA,2,3,restaurant,3602,0.6683,0.6718,0.4422,0.8004,0.4873,0.039
Extended BERT ABSA,2,4,val,122,0.4022,0.8443,0.4805,0.9231,0.5185,0.0
Extended BERT ABSA,2,4,in_domain,123,0.4022,0.9106,0.7103,0.9484,0.7826,0.4
Extended BERT ABSA,2,4,laptop,2313,0.4022,0.6602,0.4912,0.7602,0.7092,0.0043
Extended BERT ABSA,2,4,restaurant,3602,0.4022,0.6932,0.4831,0.8192,0.5856,0.0446
Extended BERT ABSA,2,5,val,122,0.3034,0.8689,0.502,0.9346,0.5714,0.0
Extended BERT ABSA,2,5,in_domain,123,0.3034,0.9187,0.7106,0.9541,0.7778,0.4
Extended BERT ABSA,2,5,laptop,2313,0.3034,0.6684,0.4954,0.763,0.7191,0.0043
Extended BERT ABSA,2,5,restaurant,3602,0.3034,0.6785,0.4511,0.8044,0.5046,0.0442
RoBERTa ABSA,2,1,val,122,1.0998,0.8689,0.3099,0.9298,0.0,0.0
RoBERTa ABSA,2,1,in_domain,123,1.0998,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,2,1,laptop,2313,1.0998,0.4284,0.2028,0.5991,0.0092,0.0
RoBERTa ABSA,2,1,restaurant,3602,1.0998,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,2,2,val,122,1.1753,0.8197,0.4361,0.9082,0.4,0.0
RoBERTa ABSA,2,2,in_domain,123,1.1753,0.8455,0.4768,0.9143,0.5161,0.0
RoBERTa ABSA,2,2,laptop,2313,1.1753,0.6896,0.5106,0.7644,0.7674,0.0
RoBERTa ABSA,2,2,restaurant,3602,1.1753,0.6974,0.4652,0.811,0.5846,0.0
RoBERTa ABSA,2,3,val,122,0.7578,0.7295,0.4438,0.8454,0.375,0.1111
RoBERTa ABSA,2,3,in_domain,123,0.7578,0.8455,0.637,0.9154,0.6207,0.375
RoBERTa ABSA,2,3,laptop,2313,0.7578,0.7233,0.6346,0.8097,0.7787,0.3153
RoBERTa ABSA,2,3,restaurant,3602,0.7578,0.7279,0.5727,0.8431,0.6727,0.2023
RoBERTa ABSA,2,4,val,122,0.4526,0.8443,0.4282,0.9209,0.3636,0.0
RoBERTa ABSA,2,4,in_domain,123,0.4526,0.9187,0.6443,0.9633,0.6364,0.3333
RoBERTa ABSA,2,4,laptop,2313,0.4526,0.7432,0.6339,0.8212,0.7973,0.2833
RoBERTa ABSA,2,4,restaurant,3602,0.4526,0.7426,0.5637,0.8505,0.6867,0.1541
RoBERTa ABSA,2,5,val,122,0.3143,0.8279,0.4642,0.9108,0.3,0.1818
RoBERTa ABSA,2,5,in_domain,123,0.3143,0.9187,0.7084,0.9585,0.6667,0.5
RoBERTa ABSA,2,5,laptop,2313,0.3143,0.7497,0.6911,0.8232,0.7958,0.4543
RoBERTa ABSA,2,5,restaurant,3602,0.3143,0.7479,0.6318,0.8565,0.672,0.3668
Standard BERT ABSA,3,1,val,122,1.0777,0.5984,0.2865,0.7513,0.0,0.1081
Standard BERT ABSA,3,1,in_domain,123,1.0777,0.5935,0.452,0.7222,0.4706,0.1633
Standard BERT ABSA,3,1,laptop,2313,1.0777,0.4911,0.3483,0.6092,0.4357,0.0
Standard BERT ABSA,3,1,restaurant,3602,1.0777,0.5897,0.2887,0.7435,0.1227,0.0
Standard BERT ABSA,3,2,val,122,0.9577,0.4508,0.3244,0.5935,0.2745,0.1053
Standard BERT ABSA,3,2,in_domain,123,0.9577,0.5691,0.4639,0.6901,0.5385,0.1633
Standard BERT ABSA,3,2,laptop,2313,0.9577,0.5071,0.3736,0.5389,0.5817,0.0
Standard BERT ABSA,3,2,restaurant,3602,0.9577,0.5944,0.4013,0.7383,0.4655,0.0
Standard BERT ABSA,3,3,val,122,0.7445,0.8279,0.4745,0.9073,0.5161,0.0
Standard BERT ABSA,3,3,in_domain,123,0.7445,0.9106,0.6537,0.9493,0.7619,0.25
Standard BERT ABSA,3,3,laptop,2313,0.7445,0.6018,0.4455,0.6856,0.651,0.0
Standard BERT ABSA,3,3,restaurant,3602,0.7445,0.6691,0.4392,0.7975,0.5201,0.0
Standard BERT ABSA,3,4,val,122,0.5659,0.7623,0.4415,0.8673,0.4571,0.0
Standard BERT ABSA,3,4,in_domain,123,0.5659,0.8537,0.6537,0.9126,0.6957,0.3529
Standard BERT ABSA,3,4,laptop,2313,0.5659,0.6239,0.463,0.7069,0.6821,0.0
Standard BERT ABSA,3,4,restaurant,3602,0.5659,0.6924,0.4767,0.8248,0.6053,0.0
Standard BERT ABSA,3,5,val,122,0.4343,0.8279,0.5571,0.9064,0.64,0.125
Standard BERT ABSA,3,5,in_domain,123,0.4343,0.8618,0.6867,0.9179,0.8421,0.3
Standard BERT ABSA,3,5,laptop,2313,0.4343,0.6502,0.4815,0.7364,0.7081,0.0
Standard BERT ABSA,3,5,restaurant,3602,0.4343,0.696,0.4709,0.8172,0.5923,0.0031
Extended BERT ABSA,3,1,val,122,1.0884,0.3689,0.2771,0.4966,0.2295,0.1053
Extended BERT ABSA,3,1,in_domain,123,1.0884,0.4715,0.3832,0.5897,0.4,0.16
Extended BERT ABSA,3,1,laptop,2313,1.0884,0.4142,0.3229,0.1911,0.5558,0.2219
Extended BERT ABSA,3,1,restaurant,3602,1.0884,0.5147,0.395,0.6404,0.4551,0.0894
Extended BERT ABSA,3,2,val,122,0.8803,0.6885,0.3703,0.8191,0.2917,0.0
Extended BERT ABSA,3,2,in_domain,123,0.8803,0.8293,0.4557,0.9005,0.4667,0.0
Extended BERT ABSA,3,2,laptop,2313,0.8803,0.5383,0.4014,0.5682,0.6148,0.0213
Extended BERT ABSA,3,2,restaurant,3602,0.8803,0.6466,0.3957,0.7798,0.4073,0.0
Extended BERT ABSA,3,3,val,122,0.5929,0.8279,0.4473,0.9135,0.4286,0.0
Extended BERT ABSA,3,3,in_domain,123,0.5929,0.8943,0.5005,0.9459,0.5556,0.0
Extended BERT ABSA,3,3,laptop,2313,0.5929,0.623,0.4758,0.7128,0.6688,0.0458
Extended BERT ABSA,3,3,restaurant,3602,0.5929,0.6421,0.3706,0.7767,0.3352,0.0
Extended BERT ABSA,3,4,val,122,0.44,0.8115,0.4438,0.9029,0.4286,0.0
Extended BERT ABSA,3,4,in_domain,123,0.44,0.9024,0.6436,0.9488,0.8,0.1818
Extended BERT ABSA,3,4,laptop,2313,0.44,0.6286,0.4972,0.7184,0.6735,0.0998
Extended BERT ABSA,3,4,restaurant,3602,0.44,0.6763,0.4427,0.8043,0.5176,0.0062
Extended BERT ABSA,3,5,val,122,0.2838,0.8361,0.4801,0.9187,0.5217,0.0
Extended BERT ABSA,3,5,in_domain,123,0.2838,0.8943,0.6913,0.9395,0.7059,0.4286
Extended BERT ABSA,3,5,laptop,2313,0.2838,0.6533,0.533,0.749,0.6925,0.1575
Extended BERT ABSA,3,5,restaurant,3602,0.2838,0.666,0.428,0.796,0.4611,0.0271
RoBERTa ABSA,3,1,val,122,1.1106,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,3,1,in_domain,123,1.1106,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,3,1,laptop,2313,1.1106,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,3,1,restaurant,3602,1.1106,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,3,2,val,122,0.9803,0.8279,0.4606,0.9151,0.3,0.1667
RoBERTa ABSA,3,2,in_domain,123,0.9803,0.8943,0.5983,0.945,0.6,0.25
RoBERTa ABSA,3,2,laptop,2313,0.9803,0.6429,0.5153,0.7296,0.7041,0.1122
RoBERTa ABSA,3,2,restaurant,3602,0.9803,0.6821,0.4467,0.8026,0.5076,0.0299
RoBERTa ABSA,3,3,val,122,0.7042,0.8033,0.4268,0.8932,0.3871,0.0
RoBERTa ABSA,3,3,in_domain,123,0.7042,0.9024,0.5277,0.9623,0.6207,0.0
RoBERTa ABSA,3,3,laptop,2313,0.7042,0.7272,0.5726,0.8132,0.7883,0.1162
RoBERTa ABSA,3,3,restaurant,3602,0.7042,0.7365,0.5142,0.8491,0.6933,0.0
RoBERTa ABSA,3,4,val,122,0.5795,0.7295,0.4181,0.8543,0.2667,0.1333
RoBERTa ABSA,3,4,in_domain,123,0.5795,0.7642,0.5823,0.8571,0.6316,0.2581
RoBERTa ABSA,3,4,laptop,2313,0.5795,0.6489,0.6417,0.7127,0.7383,0.4739
RoBERTa ABSA,3,4,restaurant,3602,0.5795,0.6985,0.6102,0.8253,0.6136,0.3917
RoBERTa ABSA,3,5,val,122,0.3802,0.8197,0.4074,0.9065,0.3158,0.0
RoBERTa ABSA,3,5,in_domain,123,0.3802,0.8862,0.5177,0.9444,0.6087,0.0
RoBERTa ABSA,3,5,laptop,2313,0.3802,0.7307,0.6543,0.7998,0.7982,0.3649
RoBERTa ABSA,3,5,restaurant,3602,0.3802,0.7293,0.5405,0.8407,0.6636,0.1172
Standard BERT ABSA,5,1,val,122,1.111,0.6311,0.3412,0.7735,0.25,0.0
Standard BERT ABSA,5,1,in_domain,123,1.111,0.8374,0.4736,0.9048,0.5161,0.0
Standard BERT ABSA,5,1,laptop,2313,1.111,0.4479,0.2968,0.3139,0.5764,0.0
Standard BERT ABSA,5,1,restaurant,3602,1.111,0.4664,0.3352,0.5886,0.417,0.0
Standard BERT ABSA,5,2,val,122,0.8972,0.7213,0.3859,0.8394,0.3182,0.0
Standard BERT ABSA,5,2,in_domain,123,0.8972,0.8943,0.5356,0.9401,0.6667,0.0
Standard BERT ABSA,5,2,laptop,2313,0.8972,0.5508,0.4054,0.5931,0.6232,0.0
Standard BERT ABSA,5,2,restaurant,3602,0.8972,0.6036,0.4094,0.7465,0.4787,0.0032
Standard BERT ABSA,5,3,val,122,0.6525,0.8443,0.4417,0.9252,0.4,0.0
Standard BERT ABSA,5,3,in_domain,123,0.6525,0.8943,0.643,0.9406,0.5882,0.4
Standard BERT ABSA,5,3,laptop,2313,0.6525,0.6308,0.4703,0.7328,0.6738,0.0043
Standard BERT ABSA,5,3,restaurant,3602,0.6525,0.6519,0.4289,0.7894,0.4852,0.0122
Standard BERT ABSA,5,4,val,122,0.4692,0.8361,0.533,0.9171,0.5,0.1818
Standard BERT ABSA,5,4,in_domain,123,0.4692,0.8943,0.6766,0.939,0.7273,0.3636
Standard BERT ABSA,5,4,laptop,2313,0.4692,0.6087,0.4532,0.6967,0.6629,0.0
Standard BERT ABSA,5,4,restaurant,3602,0.4692,0.6546,0.4559,0.7968,0.547,0.024
Standard BERT ABSA,5,5,val,122,0.3699,0.8443,0.4183,0.9217,0.3333,0.0
Standard BERT ABSA,5,5,in_domain,123,0.3699,0.9187,0.7016,0.9545,0.7059,0.4444
Standard BERT ABSA,5,5,laptop,2313,0.3699,0.6541,0.487,0.7582,0.6985,0.0043
Standard BERT ABSA,5,5,restaurant,3602,0.3699,0.676,0.4556,0.8068,0.5478,0.0123
Extended BERT ABSA,5,1,val,122,1.0544,0.5984,0.3185,0.7486,0.2069,0.0
Extended BERT ABSA,5,1,in_domain,123,1.0544,0.7805,0.4308,0.8713,0.4211,0.0
Extended BERT ABSA,5,1,laptop,2313,1.0544,0.4604,0.3203,0.3887,0.5721,0.0
Extended BERT ABSA,5,1,restaurant,3602,1.0544,0.4706,0.3167,0.6198,0.3302,0.0
Extended BERT ABSA,5,2,val,122,0.9319,0.8443,0.3079,0.9238,0.0,0.0
Extended BERT ABSA,5,2,in_domain,123,0.9319,0.8699,0.4429,0.9286,0.4,0.0
Extended BERT ABSA,5,2,laptop,2313,0.9319,0.5763,0.4217,0.6865,0.5744,0.0043
Extended BERT ABSA,5,2,restaurant,3602,0.9319,0.5986,0.284,0.7499,0.0961,0.0062
Extended BERT ABSA,5,3,val,122,0.6859,0.7131,0.3921,0.836,0.3404,0.0
Extended BERT ABSA,5,3,in_domain,123,0.6859,0.8211,0.47,0.91,0.5,0.0
Extended BERT ABSA,5,3,laptop,2313,0.6859,0.5188,0.3732,0.5116,0.608,0.0
Extended BERT ABSA,5,3,restaurant,3602,0.6859,0.5744,0.4034,0.7232,0.4869,0.0
Extended BERT ABSA,5,4,val,122,0.4846,0.8115,0.4619,0.901,0.4848,0.0
Extended BERT ABSA,5,4,in_domain,123,0.4846,0.9106,0.6527,0.9533,0.7826,0.2222
Extended BERT ABSA,5,4,laptop,2313,0.4846,0.6027,0.4537,0.6869,0.6571,0.017
Extended BERT ABSA,5,4,restaurant,3602,0.4846,0.6344,0.4318,0.7791,0.4857,0.0305
Extended BERT ABSA,5,5,val,122,0.3262,0.8361,0.4729,0.9187,0.5,0.0
Extended BERT ABSA,5,5,in_domain,123,0.3262,0.9024,0.7087,0.9484,0.7778,0.4
Extended BERT ABSA,5,5,laptop,2313,0.3262,0.6381,0.5008,0.7402,0.6858,0.0765
Extended BERT ABSA,5,5,restaurant,3602,0.3262,0.6391,0.4399,0.7824,0.4583,0.079
RoBERTa ABSA,5,1,val,122,1.1282,0.7623,0.4092,0.8687,0.359,0.0
RoBERTa ABSA,5,1,in_domain,123,1.1282,0.7724,0.4184,0.8744,0.381,0.0
RoBERTa ABSA,5,1,laptop,2313,1.1282,0.5819,0.4258,0.6817,0.5957,0.0
RoBERTa ABSA,5,1,restaurant,3602,1.1282,0.6138,0.2929,0.7593,0.1195,0.0
RoBERTa ABSA,5,2,val,122,0.9434,0.8033,0.4242,0.8976,0.375,0.0
RoBERTa ABSA,5,2,in_domain,123,0.9434,0.8618,0.4827,0.9296,0.5185,0.0
RoBERTa ABSA,5,2,laptop,2313,0.9434,0.7086,0.552,0.7923,0.777,0.0868
RoBERTa ABSA,5,2,restaurant,3602,0.9434,0.6816,0.4479,0.8001,0.5098,0.0337
RoBERTa ABSA,5,3,val,122,0.8345,0.8279,0.4195,0.9108,0.3478,0.0
RoBERTa ABSA,5,3,in_domain,123,0.8345,0.878,0.5024,0.9358,0.5714,0.0
RoBERTa ABSA,5,3,laptop,2313,0.8345,0.7121,0.5773,0.785,0.7832,0.1636
RoBERTa ABSA,5,3,restaurant,3602,0.8345,0.6902,0.4727,0.8077,0.5332,0.077
RoBERTa ABSA,5,4,val,122,0.4744,0.8525,0.4265,0.9266,0.3529,0.0
RoBERTa ABSA,5,4,in_domain,123,0.4744,0.8943,0.5257,0.9455,0.6316,0.0
RoBERTa ABSA,5,4,laptop,2313,0.4744,0.7268,0.6465,0.799,0.772,0.3685
RoBERTa ABSA,5,4,restaurant,3602,0.4744,0.6968,0.5105,0.8181,0.5364,0.177
RoBERTa ABSA,5,5,val,122,0.3865,0.8361,0.4323,0.9159,0.381,0.0
RoBERTa ABSA,5,5,in_domain,123,0.3865,0.8862,0.5055,0.945,0.5714,0.0
RoBERTa ABSA,5,5,laptop,2313,0.3865,0.7376,0.6526,0.808,0.7896,0.3603
RoBERTa ABSA,5,5,restaurant,3602,0.3865,0.7177,0.5411,0.8324,0.6282,0.1626
Standard BERT ABSA,10,1,val,122,1.1241,0.377,0.2351,0.517,0.1882,0.0
Standard BERT ABSA,10,1,in_domain,123,1.1241,0.4797,0.3497,0.6076,0.2597,0.1818
Standard BERT ABSA,10,1,laptop,2313,1.1241,0.3939,0.2133,0.0872,0.5526,0.0
Standard BERT ABSA,10,1,restaurant,3602,1.1241,0.2568,0.1623,0.115,0.372,0.0
Standard BERT ABSA,10,2,val,122,0.8373,0.8279,0.4282,0.9143,0.3704,0.0
