model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,1,1,laptop,2313,1.0571,0.4483,0.2959,0.3129,0.5747,0.0
Standard BERT ABSA,1,1,restaurant,3602,1.0571,0.467,0.3392,0.5926,0.4126,0.0124
Standard BERT ABSA,1,2,val,122,0.8195,0.8115,0.5138,0.902,0.5217,0.1176
Standard BERT ABSA,1,2,in_domain,123,0.8195,0.8537,0.6239,0.9187,0.6,0.3529
Standard BERT ABSA,1,2,laptop,2313,0.8195,0.5962,0.4422,0.6694,0.6573,0.0
Standard BERT ABSA,1,2,restaurant,3602,0.8195,0.683,0.4664,0.8148,0.5719,0.0124
Standard BERT ABSA,1,3,val,122,0.4903,0.7459,0.4928,0.8542,0.5333,0.0909
Standard BERT ABSA,1,3,in_domain,123,0.4903,0.7967,0.6332,0.8718,0.72,0.3077
Standard BERT ABSA,1,3,laptop,2313,0.4903,0.6187,0.4616,0.7077,0.6728,0.0043
Standard BERT ABSA,1,3,restaurant,3602,0.4903,0.6932,0.4835,0.8278,0.6164,0.0062
Standard BERT ABSA,1,4,val,122,0.2516,0.8607,0.4838,0.9296,0.5217,0.0
Standard BERT ABSA,1,4,in_domain,123,0.2516,0.935,0.5821,0.9686,0.7778,0.0
Standard BERT ABSA,1,4,laptop,2313,0.2516,0.6909,0.5114,0.7853,0.7488,0.0
Standard BERT ABSA,1,4,restaurant,3602,0.2516,0.6932,0.4648,0.8147,0.5705,0.0094
Standard BERT ABSA,1,5,val,122,0.1901,0.8607,0.5125,0.9289,0.6087,0.0
Standard BERT ABSA,1,5,in_domain,123,0.1901,0.9106,0.6377,0.9541,0.7368,0.2222
Standard BERT ABSA,1,5,laptop,2313,0.1901,0.6788,0.5042,0.7767,0.7316,0.0043
Standard BERT ABSA,1,5,restaurant,3602,0.1901,0.7066,0.4849,0.8251,0.6172,0.0124
Extended BERT ABSA,1,1,val,122,1.0657,0.8525,0.3685,0.9238,0.1818,0.0
Extended BERT ABSA,1,1,in_domain,123,1.0657,0.8455,0.4628,0.914,0.3077,0.1667
Extended BERT ABSA,1,1,laptop,2313,1.0657,0.4639,0.2697,0.6158,0.1934,0.0
Extended BERT ABSA,1,1,restaurant,3602,1.0657,0.5916,0.2767,0.7442,0.086,0.0
Extended BERT ABSA,1,2,val,122,0.8994,0.8033,0.4065,0.8995,0.32,0.0
Extended BERT ABSA,1,2,in_domain,123,0.8994,0.8862,0.5341,0.9358,0.6667,0.0
Extended BERT ABSA,1,2,laptop,2313,0.8994,0.5612,0.4158,0.6331,0.6143,0.0
Extended BERT ABSA,1,2,restaurant,3602,0.8994,0.5852,0.391,0.7327,0.4342,0.0063
Extended BERT ABSA,1,3,val,122,0.6251,0.7541,0.478,0.8629,0.48,0.0909
Extended BERT ABSA,1,3,in_domain,123,0.6251,0.7561,0.6224,0.8421,0.7826,0.2424
Extended BERT ABSA,1,3,laptop,2313,0.6251,0.6182,0.4594,0.7088,0.6695,0.0
Extended BERT ABSA,1,3,restaurant,3602,0.6251,0.6308,0.4362,0.776,0.5202,0.0125
Extended BERT ABSA,1,4,val,122,0.3719,0.8115,0.371,0.9023,0.2105,0.0
Extended BERT ABSA,1,4,in_domain,123,0.3719,0.9024,0.6568,0.9455,0.625,0.4
Extended BERT ABSA,1,4,laptop,2313,0.3719,0.6606,0.489,0.7544,0.7127,0.0
Extended BERT ABSA,1,4,restaurant,3602,0.3719,0.6749,0.4542,0.8096,0.5404,0.0125
Extended BERT ABSA,1,5,val,122,0.281,0.8361,0.4787,0.9143,0.5217,0.0
Extended BERT ABSA,1,5,in_domain,123,0.281,0.9024,0.7333,0.9429,0.8571,0.4
Extended BERT ABSA,1,5,laptop,2313,0.281,0.6546,0.4864,0.7559,0.7033,0.0
Extended BERT ABSA,1,5,restaurant,3602,0.281,0.6666,0.4622,0.8104,0.5605,0.0155
RoBERTa ABSA,1,1,val,122,1.1101,0.7951,0.298,0.894,0.0,0.0
