model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
RoBERTa ABSA,42,4,laptop,2313,0.4265,0.7311,0.6302,0.7998,0.7954,0.2955
RoBERTa ABSA,42,4,restaurant,3602,0.4265,0.7254,0.5205,0.836,0.6506,0.0749
RoBERTa ABSA,42,5,val,122,0.3735,0.8279,0.398,0.9083,0.2857,0.0
RoBERTa ABSA,42,5,in_domain,123,0.3735,0.9024,0.6238,0.9493,0.7,0.2222
RoBERTa ABSA,42,5,laptop,2313,0.3735,0.7544,0.7151,0.8337,0.7853,0.5262
RoBERTa ABSA,42,5,restaurant,3602,0.3735,0.7438,0.6338,0.8524,0.6599,0.3892
RoBERTa ABSA,42,6,val,122,0.2307,0.8361,0.4056,0.9167,0.3,0.0
RoBERTa ABSA,42,6,in_domain,123,0.2307,0.8943,0.5193,0.9493,0.6087,0.0
RoBERTa ABSA,42,6,laptop,2313,0.2307,0.7605,0.7053,0.8286,0.8,0.4872
RoBERTa ABSA,42,6,restaurant,3602,0.2307,0.746,0.6137,0.8528,0.6801,0.3084
RoBERTa ABSA,42,7,val,122,0.1195,0.8525,0.4251,0.9224,0.3529,0.0
RoBERTa ABSA,42,7,in_domain,123,0.1195,0.9106,0.6342,0.9502,0.6667,0.2857
RoBERTa ABSA,42,7,laptop,2313,0.1195,0.7207,0.6715,0.8149,0.7384,0.4612
RoBERTa ABSA,42,7,restaurant,3602,0.1195,0.734,0.6019,0.845,0.6269,0.3337
RoBERTa ABSA,42,8,val,122,0.135,0.8607,0.4327,0.9231,0.375,0.0
RoBERTa ABSA,42,8,in_domain,123,0.135,0.9106,0.6342,0.9502,0.6667,0.2857
RoBERTa ABSA,42,8,laptop,2313,0.135,0.7354,0.6718,0.8128,0.7731,0.4297
RoBERTa ABSA,42,8,restaurant,3602,0.135,0.7365,0.5876,0.8424,0.6547,0.2656
RoBERTa ABSA,42,9,val,122,0.0746,0.8443,0.4125,0.9217,0.3158,0.0
RoBERTa ABSA,42,9,in_domain,123,0.0746,0.8862,0.5874,0.9401,0.6,0.2222
RoBERTa ABSA,42,9,laptop,2313,0.0746,0.7397,0.6974,0.8288,0.7614,0.5021
RoBERTa ABSA,42,9,restaurant,3602,0.0746,0.7429,0.6271,0.851,0.6561,0.3743
RoBERTa ABSA,42,10,val,122,0.0274,0.8607,0.441,0.9231,0.4,0.0
RoBERTa ABSA,42,10,in_domain,123,0.0274,0.9106,0.6237,0.9545,0.6667,0.25
RoBERTa ABSA,42,10,laptop,2313,0.0274,0.7255,0.6771,0.8184,0.7438,0.469
RoBERTa ABSA,42,10,restaurant,3602,0.0274,0.7351,0.6066,0.8472,0.6265,0.3463
Extended BERT ABSA,1,1,val,122,1.0716,0.7459,0.3686,0.8558,0.1667,0.0833
Extended BERT ABSA,1,1,in_domain,123,1.0716,0.748,0.4844,0.8488,0.4615,0.1429
Extended BERT ABSA,1,1,laptop,2313,1.0716,0.4609,0.2789,0.6109,0.2257,0.0
Extended BERT ABSA,1,1,restaurant,3602,1.0716,0.568,0.2932,0.7253,0.1542,0.0
Extended BERT ABSA,1,2,val,122,0.9417,0.8115,0.4127,0.9048,0.3333,0.0
Extended BERT ABSA,1,2,in_domain,123,0.9417,0.9024,0.5374,0.9455,0.6667,0.0
Extended BERT ABSA,1,2,laptop,2313,0.9417,0.5698,0.4213,0.6552,0.6087,0.0
Extended BERT ABSA,1,2,restaurant,3602,0.9417,0.5969,0.3769,0.7446,0.386,0.0
Extended BERT ABSA,1,3,val,122,0.6638,0.7377,0.4811,0.8482,0.5,0.0952
Extended BERT ABSA,1,3,in_domain,123,0.6638,0.8211,0.6574,0.8889,0.75,0.3333
Extended BERT ABSA,1,3,laptop,2313,0.6638,0.623,0.4633,0.7142,0.6756,0.0
Extended BERT ABSA,1,3,restaurant,3602,0.6638,0.623,0.4367,0.7714,0.5263,0.0125
Extended BERT ABSA,1,4,val,122,0.3284,0.8361,0.4787,0.9143,0.5217,0.0
Extended BERT ABSA,1,4,in_domain,123,0.3284,0.8943,0.6359,0.9434,0.7826,0.1818
Extended BERT ABSA,1,4,laptop,2313,0.3284,0.671,0.4976,0.7694,0.7233,0.0
Extended BERT ABSA,1,4,restaurant,3602,0.3284,0.686,0.4729,0.8209,0.5852,0.0125
Extended BERT ABSA,1,5,val,122,0.1676,0.8361,0.4323,0.9159,0.381,0.0
Extended BERT ABSA,1,5,in_domain,123,0.1676,0.9024,0.5972,0.9502,0.5556,0.2857
Extended BERT ABSA,1,5,laptop,2313,0.1676,0.6827,0.5049,0.7735,0.7412,0.0
Extended BERT ABSA,1,5,restaurant,3602,0.1676,0.6907,0.4735,0.8229,0.576,0.0215
Extended BERT ABSA,1,6,val,122,0.0543,0.8197,0.448,0.9091,0.4348,0.0
Extended BERT ABSA,1,6,in_domain,123,0.0543,0.8455,0.5424,0.9151,0.5455,0.1667
Extended BERT ABSA,1,6,laptop,2313,0.0543,0.693,0.5256,0.7857,0.7493,0.0419
Extended BERT ABSA,1,6,restaurant,3602,0.0543,0.6913,0.4979,0.8298,0.5804,0.0833
Extended BERT ABSA,1,7,val,122,0.0175,0.8115,0.3417,0.9074,0.1176,0.0
Extended BERT ABSA,1,7,in_domain,123,0.0175,0.878,0.5614,0.9358,0.5263,0.2222
Extended BERT ABSA,1,7,laptop,2313,0.0175,0.6861,0.535,0.7802,0.7447,0.08
Extended BERT ABSA,1,7,restaurant,3602,0.0175,0.6938,0.526,0.8286,0.5673,0.182
Extended BERT ABSA,1,8,val,122,0.0051,0.8361,0.3505,0.9182,0.1333,0.0
Extended BERT ABSA,1,8,in_domain,123,0.0051,0.9024,0.5551,0.9511,0.4286,0.2857
Extended BERT ABSA,1,8,laptop,2313,0.0051,0.6814,0.5222,0.7722,0.7385,0.0559
Extended BERT ABSA,1,8,restaurant,3602,0.0051,0.6907,0.505,0.8221,0.5512,0.1416
Extended BERT ABSA,1,9,val,122,0.0048,0.8197,0.3444,0.9083,0.125,0.0
Extended BERT ABSA,1,9,in_domain,123,0.0048,0.9106,0.5915,0.9554,0.5333,0.2857
Extended BERT ABSA,1,9,laptop,2313,0.0048,0.6835,0.5269,0.7728,0.745,0.0629
Extended BERT ABSA,1,9,restaurant,3602,0.0048,0.6924,0.5116,0.8257,0.556,0.1533
Extended BERT ABSA,1,10,val,122,0.0028,0.8197,0.3444,0.9083,0.125,0.0
Extended BERT ABSA,1,10,in_domain,123,0.0028,0.9106,0.5915,0.9554,0.5333,0.2857
Extended BERT ABSA,1,10,laptop,2313,0.0028,0.6835,0.5272,0.7737,0.7453,0.0625
Extended BERT ABSA,1,10,restaurant,3602,0.0028,0.6929,0.5153,0.8265,0.559,0.1604
RoBERTa ABSA,1,1,val,122,1.1206,0.6967,0.2764,0.8293,0.0,0.0
RoBERTa ABSA,1,1,in_domain,123,1.1206,0.6667,0.268,0.8039,0.0,0.0
RoBERTa ABSA,1,1,laptop,2313,1.1206,0.3999,0.2595,0.5718,0.0,0.2068
RoBERTa ABSA,1,1,restaurant,3602,1.1206,0.5261,0.2823,0.6913,0.0,0.1555
RoBERTa ABSA,1,2,val,122,1.1213,0.4672,0.3394,0.638,0.3158,0.0645
RoBERTa ABSA,1,2,in_domain,123,1.1213,0.5041,0.3727,0.6667,0.3529,0.0984
RoBERTa ABSA,1,2,laptop,2313,1.1213,0.6291,0.5568,0.7208,0.7095,0.2402
RoBERTa ABSA,1,2,restaurant,3602,1.1213,0.6033,0.5063,0.7426,0.4885,0.288
RoBERTa ABSA,1,3,val,122,0.786,0.8443,0.4456,0.9202,0.4167,0.0
RoBERTa ABSA,1,3,in_domain,123,0.786,0.9024,0.5867,0.9545,0.5556,0.25
RoBERTa ABSA,1,3,laptop,2313,0.786,0.6446,0.5765,0.7856,0.6199,0.3241
RoBERTa ABSA,1,3,restaurant,3602,0.786,0.666,0.473,0.8273,0.3404,0.2513
RoBERTa ABSA,1,4,val,122,0.7015,0.8115,0.4068,0.9005,0.32,0.0
RoBERTa ABSA,1,4,in_domain,123,0.7015,0.9024,0.5087,0.9545,0.5714,0.0
RoBERTa ABSA,1,4,laptop,2313,0.7015,0.7064,0.5707,0.8078,0.7479,0.1564
RoBERTa ABSA,1,4,restaurant,3602,0.7015,0.7174,0.5723,0.8336,0.6094,0.2738
RoBERTa ABSA,1,5,val,122,0.4156,0.7377,0.4752,0.8557,0.3478,0.2222
RoBERTa ABSA,1,5,in_domain,123,0.4156,0.7724,0.5498,0.8673,0.6154,0.1667
RoBERTa ABSA,1,5,laptop,2313,0.4156,0.6533,0.6298,0.6919,0.7751,0.4224
RoBERTa ABSA,1,5,restaurant,3602,0.4156,0.5777,0.5619,0.6897,0.6179,0.3781
RoBERTa ABSA,1,6,val,122,0.462,0.877,0.3733,0.9381,0.1818,0.0
RoBERTa ABSA,1,6,in_domain,123,0.462,0.8943,0.4255,0.9432,0.3333,0.0
RoBERTa ABSA,1,6,laptop,2313,0.462,0.6853,0.5729,0.763,0.726,0.2297
RoBERTa ABSA,1,6,restaurant,3602,0.462,0.6921,0.4935,0.813,0.5178,0.1497
RoBERTa ABSA,1,7,val,122,0.2683,0.8361,0.4056,0.9167,0.3,0.0
RoBERTa ABSA,1,7,in_domain,123,0.2683,0.8862,0.5994,0.9395,0.6364,0.2222
RoBERTa ABSA,1,7,laptop,2313,0.2683,0.7177,0.652,0.8081,0.7721,0.3759
RoBERTa ABSA,1,7,restaurant,3602,0.2683,0.7021,0.6165,0.8244,0.6402,0.3848
RoBERTa ABSA,1,8,val,122,0.0881,0.8607,0.3996,0.9321,0.2667,0.0
RoBERTa ABSA,1,8,in_domain,123,0.0881,0.8374,0.4764,0.9209,0.375,0.1333
RoBERTa ABSA,1,8,laptop,2313,0.0881,0.7099,0.6572,0.7978,0.7666,0.4071
RoBERTa ABSA,1,8,restaurant,3602,0.0881,0.6821,0.5952,0.8115,0.5921,0.3821
RoBERTa ABSA,1,9,val,122,0.0933,0.8689,0.4076,0.9369,0.2857,0.0
RoBERTa ABSA,1,9,in_domain,123,0.0933,0.8537,0.4866,0.9309,0.375,0.1538
RoBERTa ABSA,1,9,laptop,2313,0.0933,0.709,0.652,0.8,0.756,0.4
RoBERTa ABSA,1,9,restaurant,3602,0.0933,0.6893,0.5935,0.8191,0.5772,0.3841
RoBERTa ABSA,1,10,val,122,0.0533,0.8689,0.4076,0.9369,0.2857,0.0
RoBERTa ABSA,1,10,in_domain,123,0.0533,0.8537,0.4866,0.9309,0.375,0.1538
RoBERTa ABSA,1,10,laptop,2313,0.0533,0.7043,0.6487,0.799,0.7494,0.3977
RoBERTa ABSA,1,10,restaurant,3602,0.0533,0.688,0.5905,0.8186,0.5695,0.3836
Extended BERT ABSA,7,1,val,122,1.0891,0.5902,0.3066,0.7444,0.1754,0.0
Extended BERT ABSA,7,1,in_domain,123,1.0891,0.8049,0.4469,0.8835,0.4571,0.0
Extended BERT ABSA,7,1,laptop,2313,1.0891,0.4401,0.3087,0.3491,0.5603,0.0166
Extended BERT ABSA,7,1,restaurant,3602,1.0891,0.4037,0.2989,0.4894,0.3895,0.0177
