model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Extended BERT ABSA,2024,9,in_domain,123,0.0118,0.9024,0.6391,0.9459,0.5714,0.4
Extended BERT ABSA,2024,9,laptop,2313,0.0118,0.6792,0.575,0.7913,0.7144,0.2192
Extended BERT ABSA,2024,9,restaurant,3602,0.0118,0.673,0.5259,0.8196,0.5136,0.2446
Extended BERT ABSA,2024,10,val,122,0.0043,0.8689,0.4076,0.9369,0.2857,0.0
Extended BERT ABSA,2024,10,in_domain,123,0.0043,0.9024,0.6391,0.9459,0.5714,0.4
Extended BERT ABSA,2024,10,laptop,2313,0.0043,0.6766,0.57,0.7842,0.7115,0.2143
Extended BERT ABSA,2024,10,restaurant,3602,0.0043,0.6777,0.5239,0.8218,0.5024,0.2475
RoBERTa ABSA,2024,1,val,122,1.1764,0.7951,0.3355,0.8889,0.1176,0.0
RoBERTa ABSA,2024,1,in_domain,123,1.1764,0.7967,0.4102,0.8826,0.3478,0.0
RoBERTa ABSA,2024,1,laptop,2313,1.1764,0.4812,0.3846,0.6201,0.3684,0.1654
RoBERTa ABSA,2024,1,restaurant,3602,1.1764,0.4711,0.3876,0.6187,0.304,0.2401
RoBERTa ABSA,2024,2,val,122,1.0923,0.4754,0.3143,0.6289,0.2188,0.0952
RoBERTa ABSA,2024,2,in_domain,123,1.0923,0.5366,0.442,0.65,0.3125,0.3636
RoBERTa ABSA,2024,2,laptop,2313,1.0923,0.4725,0.3311,0.4099,0.5791,0.0043
RoBERTa ABSA,2024,2,restaurant,3602,1.0923,0.4217,0.3129,0.5016,0.4278,0.0093
RoBERTa ABSA,2024,3,val,122,0.7886,0.7869,0.4241,0.8878,0.3846,0.0
RoBERTa ABSA,2024,3,in_domain,123,0.7886,0.8618,0.6776,0.9216,0.6667,0.4444
RoBERTa ABSA,2024,3,laptop,2313,0.7886,0.6922,0.6224,0.8045,0.7214,0.3414
RoBERTa ABSA,2024,3,restaurant,3602,0.7886,0.701,0.5778,0.8335,0.5959,0.304
RoBERTa ABSA,2024,4,val,122,0.6484,0.7869,0.4122,0.8889,0.3478,0.0
RoBERTa ABSA,2024,4,in_domain,123,0.6484,0.8943,0.7238,0.9423,0.6957,0.5333
RoBERTa ABSA,2024,4,laptop,2313,0.6484,0.6978,0.6577,0.7982,0.7255,0.4493
RoBERTa ABSA,2024,4,restaurant,3602,0.6484,0.7168,0.6172,0.8396,0.6151,0.3969
RoBERTa ABSA,2024,5,val,122,0.584,0.8033,0.4388,0.8952,0.4211,0.0
RoBERTa ABSA,2024,5,in_domain,123,0.584,0.8943,0.7143,0.9429,0.6667,0.5333
RoBERTa ABSA,2024,5,laptop,2313,0.584,0.69,0.6695,0.7962,0.7171,0.4951
RoBERTa ABSA,2024,5,restaurant,3602,0.584,0.7021,0.6206,0.8361,0.5847,0.4411
RoBERTa ABSA,2024,6,val,122,0.2063,0.8361,0.4108,0.9167,0.3158,0.0
RoBERTa ABSA,2024,6,in_domain,123,0.2063,0.8943,0.6025,0.9488,0.6364,0.2222
RoBERTa ABSA,2024,6,laptop,2313,0.2063,0.7367,0.6948,0.8187,0.7707,0.4951
RoBERTa ABSA,2024,6,restaurant,3602,0.2063,0.7385,0.6386,0.8518,0.6561,0.408
RoBERTa ABSA,2024,7,val,122,0.2578,0.8115,0.4214,0.9005,0.3636,0.0
RoBERTa ABSA,2024,7,in_domain,123,0.2578,0.9106,0.7218,0.9533,0.6667,0.5455
RoBERTa ABSA,2024,7,laptop,2313,0.2578,0.7315,0.6949,0.8201,0.7646,0.5
RoBERTa ABSA,2024,7,restaurant,3602,0.2578,0.7374,0.6447,0.8562,0.6524,0.4255
RoBERTa ABSA,2024,8,val,122,0.0974,0.8361,0.4386,0.9159,0.4,0.0
RoBERTa ABSA,2024,8,in_domain,123,0.0974,0.9024,0.6708,0.9488,0.7,0.3636
RoBERTa ABSA,2024,8,laptop,2313,0.0974,0.7246,0.6871,0.8217,0.7437,0.496
RoBERTa ABSA,2024,8,restaurant,3602,0.0974,0.7357,0.6342,0.8533,0.6204,0.4289
RoBERTa ABSA,2024,9,val,122,0.0854,0.8361,0.4108,0.9167,0.3158,0.0
RoBERTa ABSA,2024,9,in_domain,123,0.0854,0.9106,0.6347,0.9541,0.7,0.25
RoBERTa ABSA,2024,9,laptop,2313,0.0854,0.7242,0.6738,0.8125,0.7479,0.461
RoBERTa ABSA,2024,9,restaurant,3602,0.0854,0.7304,0.6043,0.8461,0.608,0.3586
RoBERTa ABSA,2024,10,val,122,0.0895,0.8443,0.4183,0.9217,0.3333,0.0
RoBERTa ABSA,2024,10,in_domain,123,0.0895,0.9024,0.6287,0.9493,0.7368,0.2
RoBERTa ABSA,2024,10,laptop,2313,0.0895,0.7203,0.6793,0.8174,0.7363,0.4841
RoBERTa ABSA,2024,10,restaurant,3602,0.0895,0.7307,0.6132,0.8496,0.5919,0.3983
Extended BERT ABSA,123,1,val,122,1.0817,0.7377,0.4045,0.8497,0.3636,0.0
Extended BERT ABSA,123,1,in_domain,123,1.0817,0.8618,0.4739,0.9217,0.5,0.0
Extended BERT ABSA,123,1,laptop,2313,1.0817,0.4898,0.3518,0.4672,0.5882,0.0
Extended BERT ABSA,123,1,restaurant,3602,1.0817,0.3723,0.2721,0.4476,0.3689,0.0
Extended BERT ABSA,123,2,val,122,0.9139,0.8033,0.3731,0.8972,0.2222,0.0
Extended BERT ABSA,123,2,in_domain,123,0.9139,0.8537,0.597,0.9159,0.625,0.25
Extended BERT ABSA,123,2,laptop,2313,0.9139,0.6559,0.4927,0.753,0.7039,0.0212
Extended BERT ABSA,123,2,restaurant,3602,0.9139,0.6488,0.4317,0.7901,0.502,0.0031
Extended BERT ABSA,123,3,val,122,0.5307,0.8197,0.4613,0.9038,0.48,0.0
Extended BERT ABSA,123,3,in_domain,123,0.5307,0.878,0.6937,0.9282,0.8,0.3529
Extended BERT ABSA,123,3,laptop,2313,0.5307,0.6701,0.5079,0.776,0.7136,0.0341
Extended BERT ABSA,123,3,restaurant,3602,0.5307,0.6757,0.4697,0.8183,0.5878,0.0031
Extended BERT ABSA,123,4,val,122,0.3,0.8443,0.434,0.9209,0.381,0.0
Extended BERT ABSA,123,4,in_domain,123,0.3,0.9268,0.5684,0.9683,0.7368,0.0
Extended BERT ABSA,123,4,laptop,2313,0.3,0.693,0.5228,0.7933,0.7409,0.0341
Extended BERT ABSA,123,4,restaurant,3602,0.3,0.7016,0.4852,0.8294,0.6074,0.0187
Extended BERT ABSA,123,5,val,122,0.2135,0.8525,0.3685,0.9238,0.1818,0.0
Extended BERT ABSA,123,5,in_domain,123,0.2135,0.9024,0.5934,0.9469,0.3333,0.5
Extended BERT ABSA,123,5,laptop,2313,0.2135,0.6913,0.5693,0.7761,0.7394,0.1925
Extended BERT ABSA,123,5,restaurant,3602,0.2135,0.6938,0.5045,0.8153,0.5623,0.1358
Extended BERT ABSA,123,6,val,122,0.1645,0.8689,0.3838,0.9292,0.2222,0.0
Extended BERT ABSA,123,6,in_domain,123,0.1645,0.9024,0.5934,0.9469,0.3333,0.5
Extended BERT ABSA,123,6,laptop,2313,0.1645,0.6935,0.6026,0.7768,0.7278,0.3031
Extended BERT ABSA,123,6,restaurant,3602,0.1645,0.6929,0.5235,0.8151,0.5526,0.2029
Extended BERT ABSA,123,7,val,122,0.0736,0.8525,0.398,0.9273,0.2667,0.0
Extended BERT ABSA,123,7,in_domain,123,0.0736,0.9187,0.6756,0.9554,0.5714,0.5
Extended BERT ABSA,123,7,laptop,2313,0.0736,0.7125,0.6431,0.7951,0.7425,0.3917
Extended BERT ABSA,123,7,restaurant,3602,0.0736,0.7063,0.5678,0.8267,0.5862,0.2905
Extended BERT ABSA,123,8,val,122,0.0097,0.8279,0.393,0.9124,0.2667,0.0
Extended BERT ABSA,123,8,in_domain,123,0.0097,0.9187,0.6887,0.955,0.6667,0.4444
Extended BERT ABSA,123,8,laptop,2313,0.0097,0.7017,0.6509,0.7925,0.7334,0.4268
Extended BERT ABSA,123,8,restaurant,3602,0.0097,0.6954,0.584,0.822,0.5787,0.3514
Extended BERT ABSA,123,9,val,122,0.0041,0.8197,0.3504,0.9083,0.1429,0.0
Extended BERT ABSA,123,9,in_domain,123,0.0041,0.9024,0.6175,0.9464,0.4615,0.4444
Extended BERT ABSA,123,9,laptop,2313,0.0041,0.6961,0.6486,0.7952,0.7207,0.4298
Extended BERT ABSA,123,9,restaurant,3602,0.0041,0.6916,0.5834,0.8198,0.5574,0.3731
Extended BERT ABSA,123,10,val,122,0.0038,0.8197,0.3914,0.9074,0.2667,0.0
Extended BERT ABSA,123,10,in_domain,123,0.0038,0.9106,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,123,10,laptop,2313,0.0038,0.6978,0.6499,0.7942,0.7267,0.4287
Extended BERT ABSA,123,10,restaurant,3602,0.0038,0.6938,0.5878,0.821,0.569,0.3734
RoBERTa ABSA,123,1,val,122,1.1336,0.5328,0.304,0.6867,0.2254,0.0
RoBERTa ABSA,123,1,in_domain,123,1.1336,0.6504,0.3685,0.7778,0.3279,0.0
RoBERTa ABSA,123,1,laptop,2313,1.1336,0.447,0.2927,0.2985,0.5796,0.0
RoBERTa ABSA,123,1,restaurant,3602,1.1336,0.5019,0.3631,0.6156,0.4737,0.0
RoBERTa ABSA,123,2,val,122,1.0102,0.8607,0.4663,0.9315,0.2857,0.1818
RoBERTa ABSA,123,2,in_domain,123,1.0102,0.9268,0.7503,0.9593,0.625,0.6667
RoBERTa ABSA,123,2,laptop,2313,1.0102,0.6234,0.5781,0.7173,0.6393,0.3777
RoBERTa ABSA,123,2,restaurant,3602,1.0102,0.641,0.4106,0.7826,0.279,0.1702
RoBERTa ABSA,123,3,val,122,0.8713,0.8033,0.4854,0.8986,0.3077,0.25
RoBERTa ABSA,123,3,in_domain,123,0.8713,0.8618,0.6168,0.9289,0.5882,0.3333
RoBERTa ABSA,123,3,laptop,2313,0.8713,0.6879,0.6756,0.7539,0.7735,0.4992
RoBERTa ABSA,123,3,restaurant,3602,0.8713,0.6768,0.5781,0.8347,0.4778,0.422
RoBERTa ABSA,123,4,val,122,0.5579,0.8115,0.428,0.8995,0.3846,0.0
RoBERTa ABSA,123,4,in_domain,123,0.5579,0.9106,0.6438,0.9581,0.64,0.3333
RoBERTa ABSA,123,4,laptop,2313,0.5579,0.7449,0.6618,0.8197,0.7968,0.3688
RoBERTa ABSA,123,4,restaurant,3602,0.5579,0.749,0.6044,0.8572,0.7048,0.2512
RoBERTa ABSA,123,5,val,122,0.3408,0.8525,0.4476,0.9217,0.4211,0.0
RoBERTa ABSA,123,5,in_domain,123,0.3408,0.8943,0.4908,0.9459,0.5263,0.0
RoBERTa ABSA,123,5,laptop,2313,0.3408,0.7397,0.6751,0.8153,0.7849,0.4252
RoBERTa ABSA,123,5,restaurant,3602,0.3408,0.7246,0.5666,0.8368,0.6293,0.2337
RoBERTa ABSA,123,6,val,122,0.3388,0.8443,0.4403,0.9209,0.4,0.0
RoBERTa ABSA,123,6,in_domain,123,0.3388,0.8943,0.613,0.9444,0.6087,0.2857
RoBERTa ABSA,123,6,laptop,2313,0.3388,0.741,0.6911,0.8134,0.7914,0.4685
RoBERTa ABSA,123,6,restaurant,3602,0.3388,0.7285,0.6018,0.8439,0.6346,0.327
RoBERTa ABSA,123,7,val,122,0.1869,0.8279,0.398,0.9083,0.2857,0.0
RoBERTa ABSA,123,7,in_domain,123,0.1869,0.8943,0.643,0.9406,0.5882,0.4
RoBERTa ABSA,123,7,laptop,2313,0.1869,0.7116,0.6799,0.8,0.7487,0.4911
RoBERTa ABSA,123,7,restaurant,3602,0.1869,0.7046,0.5851,0.8356,0.5474,0.3724
RoBERTa ABSA,123,8,val,122,0.0999,0.8443,0.4013,0.9182,0.2857,0.0
RoBERTa ABSA,123,8,in_domain,123,0.0999,0.9106,0.6795,0.9502,0.5882,0.5
RoBERTa ABSA,123,8,laptop,2313,0.0999,0.7095,0.6773,0.8043,0.7396,0.4879
RoBERTa ABSA,123,8,restaurant,3602,0.0999,0.7057,0.5769,0.8371,0.5269,0.3667
RoBERTa ABSA,123,9,val,122,0.1305,0.8525,0.4029,0.9231,0.2857,0.0
RoBERTa ABSA,123,9,in_domain,123,0.1305,0.9106,0.6795,0.9502,0.5882,0.5
RoBERTa ABSA,123,9,laptop,2313,0.1305,0.722,0.6854,0.8084,0.7635,0.4843
RoBERTa ABSA,123,9,restaurant,3602,0.1305,0.7143,0.5904,0.8399,0.5644,0.367
RoBERTa ABSA,123,10,val,122,0.0517,0.8361,0.3933,0.9132,0.2667,0.0
RoBERTa ABSA,123,10,in_domain,123,0.0517,0.9024,0.6594,0.9455,0.5882,0.4444
RoBERTa ABSA,123,10,laptop,2313,0.0517,0.716,0.683,0.8054,0.7582,0.4854
RoBERTa ABSA,123,10,restaurant,3602,0.0517,0.7138,0.5951,0.8423,0.5607,0.3823
Extended BERT ABSA,0,1,val,122,1.1173,0.7131,0.3475,0.8426,0.2,0.0
Extended BERT ABSA,0,1,in_domain,123,1.1173,0.8618,0.4739,0.9217,0.5,0.0
Extended BERT ABSA,0,1,laptop,2313,1.1173,0.479,0.3417,0.591,0.4298,0.0043
Extended BERT ABSA,0,1,restaurant,3602,1.1173,0.5991,0.3722,0.745,0.3503,0.0213
Extended BERT ABSA,0,2,val,122,0.9657,0.623,0.3374,0.7667,0.2456,0.0
Extended BERT ABSA,0,2,in_domain,123,0.9657,0.7967,0.4303,0.8792,0.4118,0.0
Extended BERT ABSA,0,2,laptop,2313,0.9657,0.527,0.3898,0.5774,0.592,0.0
Extended BERT ABSA,0,2,restaurant,3602,0.9657,0.5514,0.3773,0.6969,0.4349,0.0
Extended BERT ABSA,0,3,val,122,0.6744,0.8607,0.3111,0.9333,0.0,0.0
Extended BERT ABSA,0,3,in_domain,123,0.6744,0.8862,0.4687,0.9386,0.1818,0.2857
Extended BERT ABSA,0,3,laptop,2313,0.6744,0.5257,0.3878,0.6582,0.3813,0.1239
Extended BERT ABSA,0,3,restaurant,3602,0.6744,0.6185,0.3285,0.7627,0.1324,0.0903
Extended BERT ABSA,0,4,val,122,0.358,0.7541,0.4205,0.8615,0.4,0.0
Extended BERT ABSA,0,4,in_domain,123,0.358,0.8699,0.5918,0.9327,0.6429,0.2
Extended BERT ABSA,0,4,laptop,2313,0.358,0.6308,0.5335,0.7325,0.6714,0.1968
Extended BERT ABSA,0,4,restaurant,3602,0.358,0.6641,0.5439,0.8087,0.5496,0.2733
Extended BERT ABSA,0,5,val,122,0.1644,0.8443,0.4403,0.9209,0.4,0.0
Extended BERT ABSA,0,5,in_domain,123,0.1644,0.8862,0.5825,0.9406,0.625,0.1818
Extended BERT ABSA,0,5,laptop,2313,0.1644,0.6645,0.605,0.7716,0.6959,0.3476
Extended BERT ABSA,0,5,restaurant,3602,0.1644,0.6635,0.5264,0.8091,0.4575,0.3127
Extended BERT ABSA,0,6,val,122,0.0515,0.8443,0.4417,0.9252,0.4,0.0
Extended BERT ABSA,0,6,in_domain,123,0.0515,0.8943,0.6039,0.945,0.6667,0.2
Extended BERT ABSA,0,6,laptop,2313,0.0515,0.6688,0.6076,0.782,0.6977,0.343
Extended BERT ABSA,0,6,restaurant,3602,0.0515,0.6632,0.54,0.8099,0.481,0.3292
Extended BERT ABSA,0,7,val,122,0.0135,0.8525,0.42,0.9266,0.3333,0.0
Extended BERT ABSA,0,7,in_domain,123,0.0135,0.8862,0.4806,0.9417,0.5,0.0
Extended BERT ABSA,0,7,laptop,2313,0.0135,0.6788,0.5912,0.7791,0.7162,0.2784
Extended BERT ABSA,0,7,restaurant,3602,0.0135,0.6788,0.5379,0.8184,0.4989,0.2964
Extended BERT ABSA,0,8,val,122,0.0061,0.8607,0.3996,0.9321,0.2667,0.0
Extended BERT ABSA,0,8,in_domain,123,0.0061,0.8943,0.4585,0.9469,0.4286,0.0
Extended BERT ABSA,0,8,laptop,2313,0.0061,0.6667,0.5685,0.7632,0.6994,0.2427
Extended BERT ABSA,0,8,restaurant,3602,0.0061,0.681,0.514,0.8196,0.4584,0.2641
Extended BERT ABSA,0,9,val,122,0.0057,0.8607,0.4281,0.9315,0.3529,0.0
Extended BERT ABSA,0,9,in_domain,123,0.0057,0.8862,0.5404,0.9375,0.4615,0.2222
Extended BERT ABSA,0,9,laptop,2313,0.0057,0.6818,0.5976,0.7811,0.7192,0.2925
Extended BERT ABSA,0,9,restaurant,3602,0.0057,0.6763,0.5331,0.8184,0.4853,0.2955
Extended BERT ABSA,0,10,val,122,0.0029,0.8607,0.3996,0.9321,0.2667,0.0
Extended BERT ABSA,0,10,in_domain,123,0.0029,0.8943,0.5513,0.9422,0.4615,0.25
Extended BERT ABSA,0,10,laptop,2313,0.0029,0.6788,0.5925,0.7796,0.7131,0.2849
Extended BERT ABSA,0,10,restaurant,3602,0.0029,0.6763,0.5273,0.8175,0.4771,0.2873
RoBERTa ABSA,0,1,val,122,1.0985,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,0,1,in_domain,123,1.0985,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,0,1,laptop,2313,1.0985,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,0,1,restaurant,3602,1.0985,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,0,2,val,122,1.0421,0.5902,0.3301,0.7442,0.2462,0.0
RoBERTa ABSA,0,2,in_domain,123,1.0421,0.6911,0.3893,0.8108,0.3571,0.0
RoBERTa ABSA,0,2,laptop,2313,1.0421,0.6355,0.4911,0.7164,0.6898,0.0671
RoBERTa ABSA,0,2,restaurant,3602,1.0421,0.6996,0.4722,0.8169,0.5964,0.0031
RoBERTa ABSA,0,3,val,122,0.7937,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,0,3,in_domain,123,0.7937,0.8862,0.3736,0.9391,0.1818,0.0
RoBERTa ABSA,0,3,laptop,2313,0.7937,0.5936,0.4282,0.689,0.5955,0.0
RoBERTa ABSA,0,3,restaurant,3602,0.7937,0.6147,0.292,0.7587,0.1174,0.0
RoBERTa ABSA,0,4,val,122,0.9809,0.8525,0.3875,0.9273,0.2353,0.0
RoBERTa ABSA,0,4,in_domain,123,0.9809,0.9106,0.5145,0.9554,0.5882,0.0
RoBERTa ABSA,0,4,laptop,2313,0.9809,0.6935,0.5137,0.7674,0.7737,0.0
RoBERTa ABSA,0,4,restaurant,3602,0.9809,0.6866,0.4454,0.8025,0.5337,0.0
RoBERTa ABSA,0,5,val,122,0.7217,0.8607,0.394,0.9321,0.25,0.0
RoBERTa ABSA,0,5,in_domain,123,0.7217,0.9106,0.5145,0.9554,0.5882,0.0
RoBERTa ABSA,0,5,laptop,2313,0.7217,0.6866,0.5437,0.7651,0.7449,0.1211
RoBERTa ABSA,0,5,restaurant,3602,0.7217,0.6866,0.4495,0.8041,0.5289,0.0155
RoBERTa ABSA,0,6,val,122,0.5649,0.7951,0.4747,0.8889,0.3,0.2353
RoBERTa ABSA,0,6,in_domain,123,0.5649,0.8862,0.7035,0.934,0.7059,0.4706
RoBERTa ABSA,0,6,laptop,2313,0.5649,0.7224,0.6712,0.8139,0.751,0.4488
RoBERTa ABSA,0,6,restaurant,3602,0.5649,0.7121,0.5556,0.8317,0.5876,0.2476
RoBERTa ABSA,0,7,val,122,0.3695,0.8443,0.3815,0.9224,0.2222,0.0
RoBERTa ABSA,0,7,in_domain,123,0.3695,0.8862,0.5163,0.9401,0.6087,0.0
RoBERTa ABSA,0,7,laptop,2313,0.3695,0.7341,0.6546,0.8087,0.7759,0.3791
RoBERTa ABSA,0,7,restaurant,3602,0.3695,0.7263,0.548,0.8378,0.6469,0.1593
RoBERTa ABSA,0,8,val,122,0.1299,0.8443,0.3815,0.9224,0.2222,0.0
RoBERTa ABSA,0,8,in_domain,123,0.1299,0.9187,0.5531,0.9593,0.7,0.0
RoBERTa ABSA,0,8,laptop,2313,0.1299,0.7332,0.6526,0.8044,0.7764,0.3769
RoBERTa ABSA,0,8,restaurant,3602,0.1299,0.7218,0.5432,0.8342,0.6299,0.1656
RoBERTa ABSA,0,9,val,122,0.0889,0.8115,0.3792,0.9023,0.2353,0.0
RoBERTa ABSA,0,9,in_domain,123,0.0889,0.9024,0.6409,0.945,0.7778,0.2
RoBERTa ABSA,0,9,laptop,2313,0.0889,0.7341,0.6786,0.8165,0.7673,0.452
RoBERTa ABSA,0,9,restaurant,3602,0.0889,0.7293,0.5903,0.8417,0.6161,0.313
RoBERTa ABSA,0,10,val,122,0.0249,0.8361,0.3842,0.9174,0.2353,0.0
RoBERTa ABSA,0,10,in_domain,123,0.0249,0.9024,0.6186,0.9498,0.7059,0.2
RoBERTa ABSA,0,10,laptop,2313,0.0249,0.7298,0.6721,0.8158,0.7603,0.4401
RoBERTa ABSA,0,10,restaurant,3602,0.0249,0.7235,0.5768,0.838,0.6075,0.2851
Extended BERT ABSA,2,1,val,122,1.0779,0.2049,0.1407,0.2698,0.1524,0.0
Extended BERT ABSA,2,1,in_domain,123,1.0779,0.3171,0.2567,0.4058,0.2105,0.1538
Extended BERT ABSA,2,1,laptop,2313,1.0779,0.3813,0.1971,0.0452,0.5461,0.0
Extended BERT ABSA,2,1,restaurant,3602,1.0779,0.2435,0.1545,0.0835,0.3645,0.0155
Extended BERT ABSA,2,2,val,122,0.9786,0.5656,0.3142,0.7168,0.2258,0.0
Extended BERT ABSA,2,2,in_domain,123,0.9786,0.7886,0.5286,0.8731,0.5128,0.2
Extended BERT ABSA,2,2,laptop,2313,0.9786,0.4419,0.2909,0.3002,0.5683,0.0043
Extended BERT ABSA,2,2,restaurant,3602,0.9786,0.4325,0.3227,0.5256,0.4241,0.0185
Extended BERT ABSA,2,3,val,122,0.7066,0.8607,0.5041,0.9289,0.5833,0.0
Extended BERT ABSA,2,3,in_domain,123,0.7066,0.9106,0.7103,0.9484,0.7826,0.4
Extended BERT ABSA,2,3,laptop,2313,0.7066,0.6554,0.4892,0.7581,0.7009,0.0086
Extended BERT ABSA,2,3,restaurant,3602,0.7066,0.6966,0.4791,0.8229,0.5963,0.0182
Extended BERT ABSA,2,4,val,122,0.3744,0.8115,0.4781,0.901,0.5333,0.0
Extended BERT ABSA,2,4,in_domain,123,0.3744,0.8618,0.6408,0.9223,0.75,0.25
Extended BERT ABSA,2,4,laptop,2313,0.3744,0.6533,0.5065,0.7583,0.6966,0.0648
Extended BERT ABSA,2,4,restaurant,3602,0.3744,0.6941,0.5135,0.825,0.601,0.1146
Extended BERT ABSA,2,5,val,122,0.1956,0.8689,0.5624,0.934,0.5714,0.1818
Extended BERT ABSA,2,5,in_domain,123,0.1956,0.9024,0.6852,0.9444,0.7778,0.3333
Extended BERT ABSA,2,5,laptop,2313,0.1956,0.6891,0.5539,0.7859,0.7374,0.1383
Extended BERT ABSA,2,5,restaurant,3602,0.1956,0.7029,0.5195,0.8279,0.6018,0.1289
Extended BERT ABSA,2,6,val,122,0.1405,0.8279,0.5025,0.9091,0.4167,0.1818
Extended BERT ABSA,2,6,in_domain,123,0.1405,0.9106,0.7081,0.9488,0.8421,0.3333
Extended BERT ABSA,2,6,laptop,2313,0.1405,0.6922,0.5651,0.789,0.7439,0.1623
Extended BERT ABSA,2,6,restaurant,3602,0.1405,0.7174,0.5537,0.839,0.6338,0.1882
Extended BERT ABSA,2,7,val,122,0.0266,0.8689,0.3681,0.9375,0.1667,0.0
Extended BERT ABSA,2,7,in_domain,123,0.0266,0.9106,0.6613,0.9507,0.5333,0.5
Extended BERT ABSA,2,7,laptop,2313,0.0266,0.6861,0.5547,0.769,0.7401,0.155
Extended BERT ABSA,2,7,restaurant,3602,0.0266,0.6952,0.4979,0.8181,0.5456,0.1301
Extended BERT ABSA,2,8,val,122,0.0157,0.877,0.4471,0.9412,0.4,0.0
Extended BERT ABSA,2,8,in_domain,123,0.0157,0.9024,0.6568,0.9455,0.625,0.4
Extended BERT ABSA,2,8,laptop,2313,0.0157,0.7008,0.5856,0.7856,0.7529,0.2184
Extended BERT ABSA,2,8,restaurant,3602,0.0157,0.7035,0.5259,0.826,0.5818,0.1697
Extended BERT ABSA,2,9,val,122,0.007,0.8689,0.3681,0.9375,0.1667,0.0
Extended BERT ABSA,2,9,in_domain,123,0.007,0.9187,0.6933,0.955,0.625,0.5
Extended BERT ABSA,2,9,laptop,2313,0.007,0.6935,0.5827,0.7777,0.7445,0.2259
Extended BERT ABSA,2,9,restaurant,3602,0.007,0.6952,0.5095,0.8205,0.5479,0.1603
Extended BERT ABSA,2,10,val,122,0.0044,0.877,0.4566,0.9412,0.4286,0.0
Extended BERT ABSA,2,10,in_domain,123,0.0044,0.9024,0.6568,0.9455,0.625,0.4
Extended BERT ABSA,2,10,laptop,2313,0.0044,0.6961,0.5928,0.7833,0.7427,0.2524
Extended BERT ABSA,2,10,restaurant,3602,0.0044,0.6988,0.5209,0.8253,0.5569,0.1805
RoBERTa ABSA,2,1,val,122,1.0873,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,2,1,in_domain,123,1.0873,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,2,1,laptop,2313,1.0873,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,2,1,restaurant,3602,1.0873,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,2,2,val,122,1.1801,0.8607,0.4216,0.9315,0.3333,0.0
RoBERTa ABSA,2,2,in_domain,123,1.1801,0.9187,0.5639,0.955,0.7368,0.0
RoBERTa ABSA,2,2,laptop,2313,1.1801,0.61,0.4457,0.6956,0.6415,0.0
RoBERTa ABSA,2,2,restaurant,3602,1.1801,0.6252,0.3221,0.7641,0.2022,0.0
RoBERTa ABSA,2,3,val,122,0.8415,0.6066,0.451,0.7412,0.4118,0.2
RoBERTa ABSA,2,3,in_domain,123,0.8415,0.5854,0.4715,0.7066,0.5714,0.1364
RoBERTa ABSA,2,3,laptop,2313,0.8415,0.6779,0.6331,0.7101,0.7872,0.402
RoBERTa ABSA,2,3,restaurant,3602,0.8415,0.6877,0.6269,0.8004,0.7038,0.3766
RoBERTa ABSA,2,4,val,122,0.5722,0.8607,0.4216,0.9315,0.3333,0.0
RoBERTa ABSA,2,4,in_domain,123,0.5722,0.9024,0.5287,0.9498,0.6364,0.0
RoBERTa ABSA,2,4,laptop,2313,0.5722,0.7255,0.5846,0.7921,0.8038,0.158
RoBERTa ABSA,2,4,restaurant,3602,0.5722,0.7368,0.5443,0.8409,0.6858,0.1063
RoBERTa ABSA,2,5,val,122,0.3802,0.8197,0.5139,0.9082,0.3478,0.2857
RoBERTa ABSA,2,5,in_domain,123,0.3802,0.8699,0.6268,0.9327,0.64,0.3077
RoBERTa ABSA,2,5,laptop,2313,0.3802,0.7592,0.7169,0.8271,0.802,0.5215
RoBERTa ABSA,2,5,restaurant,3602,0.3802,0.7413,0.6588,0.8485,0.6892,0.4386
RoBERTa ABSA,2,6,val,122,0.2832,0.8525,0.505,0.9217,0.2857,0.3077
RoBERTa ABSA,2,6,in_domain,123,0.2832,0.878,0.604,0.9302,0.7,0.1818
RoBERTa ABSA,2,6,laptop,2313,0.2832,0.7562,0.7114,0.8381,0.7827,0.5135
RoBERTa ABSA,2,6,restaurant,3602,0.2832,0.7443,0.6512,0.8535,0.6466,0.4535
RoBERTa ABSA,2,7,val,122,0.1466,0.8279,0.4642,0.9108,0.3,0.1818
RoBERTa ABSA,2,7,in_domain,123,0.1466,0.8862,0.6021,0.9395,0.6667,0.2
RoBERTa ABSA,2,7,laptop,2313,0.1466,0.7562,0.7049,0.834,0.7861,0.4945
RoBERTa ABSA,2,7,restaurant,3602,0.1466,0.7479,0.6543,0.8519,0.6617,0.4494
